#    L    TT             EE             BB             TE          
     2   0.107695E+04   0.466585E-01   0.185814E-05   0.323325E+01
     3   0.101757E+04   0.744901E-01   0.371687E-05   0.398131E+01
     4   0.958645E+03   0.820339E-01   0.619607E-05   0.404797E+01
     5   0.912578E+03   0.713465E-01   0.929650E-05   0.371751E+01
     6   0.879226E+03   0.517505E-01   0.130191E-04   0.322201E+01
     7   0.856625E+03   0.324414E-01   0.173650E-04   0.268762E+01
     8   0.841974E+03   0.185669E-01   0.223354E-04   0.217832E+01
     9   0.833425E+03   0.108934E-01   0.279318E-04   0.174779E+01
    10   0.829601E+03   0.762736E-02   0.341557E-04   0.142377E+01
    11   0.829223E+03   0.649779E-02   0.410089E-04   0.120828E+01
    12   0.832364E+03   0.597425E-02   0.484931E-04   0.109069E+01
    13   0.837286E+03   0.558649E-02   0.566102E-04   0.104870E+01
    14   0.843307E+03   0.508526E-02   0.653622E-04   0.106323E+01
    15   0.850767E+03   0.463182E-02   0.747511E-04   0.111515E+01
    16   0.860024E+03   0.447223E-02   0.847791E-04   0.118634E+01
    17   0.870831E+03   0.474206E-02   0.954484E-04   0.126172E+01
    18   0.882141E+03   0.530955E-02   0.106761E-03   0.133071E+01
    19   0.895058E+03   0.593248E-02   0.118719E-03   0.139093E+01
    20   0.908165E+03   0.645480E-02   0.131325E-03   0.144011E+01
    21   0.921617E+03   0.690022E-02   0.144580E-03   0.148199E+01
    22   0.935489E+03   0.740588E-02   0.158487E-03   0.151825E+01
    23   0.949572E+03   0.813827E-02   0.173049E-03   0.155209E+01
    24   0.963957E+03   0.920742E-02   0.188265E-03   0.158711E+01
    25   0.978660E+03   0.106312E-01   0.204140E-03   0.162597E+01
    26   0.993546E+03   0.123593E-01   0.220673E-03   0.167176E+01
    27   0.100878E+04   0.143241E-01   0.237868E-03   0.172270E+01
    28   0.102416E+04   0.164894E-01   0.255724E-03   0.177694E+01
    29   0.103984E+04   0.188462E-01   0.274245E-03   0.183206E+01
    30   0.105584E+04   0.214006E-01   0.293430E-03   0.188390E+01
    31   0.107195E+04   0.241518E-01   0.313281E-03   0.192861E+01
    32   0.108832E+04   0.270836E-01   0.333799E-03   0.196310E+01
    33   0.110502E+04   0.301680E-01   0.354985E-03   0.198429E+01
    34   0.112197E+04   0.333910E-01   0.376838E-03   0.199034E+01
    35   0.113918E+04   0.367591E-01   0.399360E-03   0.198165E+01
    36   0.115655E+04   0.402979E-01   0.422550E-03   0.195847E+01
    37   0.117401E+04   0.440534E-01   0.446409E-03   0.192209E+01
    38   0.119179E+04   0.480724E-01   0.470937E-03   0.187573E+01
    39   0.120988E+04   0.523559E-01   0.496133E-03   0.182046E+01
    40   0.122806E+04   0.568987E-01   0.521997E-03   0.175661E+01
    41   0.124646E+04   0.617033E-01   0.548528E-03   0.168421E+01
    42   0.126486E+04   0.667829E-01   0.575726E-03   0.160302E+01
    43   0.128342E+04   0.721533E-01   0.603590E-03   0.151274E+01
    44   0.130198E+04   0.778154E-01   0.632119E-03   0.141397E+01
    45   0.132091E+04   0.837804E-01   0.661311E-03   0.130736E+01
    46   0.134013E+04   0.900558E-01   0.691167E-03   0.119120E+01
    47   0.135949E+04   0.966211E-01   0.721685E-03   0.106415E+01
    48   0.137893E+04   0.103455E+00   0.752863E-03   0.927614E+00
    49   0.139850E+04   0.110516E+00   0.784701E-03   0.782411E+00
    50   0.141843E+04   0.117752E+00   0.817197E-03   0.622569E+00
    51   0.143849E+04   0.125121E+00   0.850350E-03   0.441683E+00
    52   0.145892E+04   0.132733E+00   0.884159E-03   0.237233E+00
    53   0.147935E+04   0.140774E+00   0.918622E-03   0.952402E-02
    54   0.149969E+04   0.149273E+00   0.953739E-03  -0.233174E+00
    55   0.152019E+04   0.158244E+00   0.989509E-03  -0.482474E+00
    56   0.154107E+04   0.167567E+00   0.102593E-02  -0.737130E+00
    57   0.156225E+04   0.177109E+00   0.106300E-02  -0.998158E+00
    58   0.158374E+04   0.186840E+00   0.110072E-02  -0.126837E+01
    59   0.160540E+04   0.196758E+00   0.113909E-02  -0.155061E+01
    60   0.162723E+04   0.206877E+00   0.117811E-02  -0.184627E+01
    61   0.164952E+04   0.217266E+00   0.121778E-02  -0.215620E+01
    62   0.167169E+04   0.227933E+00   0.125809E-02  -0.248146E+01
    63   0.169395E+04   0.238877E+00   0.129905E-02  -0.282276E+01
    64   0.171660E+04   0.250144E+00   0.134066E-02  -0.318104E+01
    65   0.173925E+04   0.261746E+00   0.138292E-02  -0.355665E+01
    66   0.176221E+04   0.273642E+00   0.142583E-02  -0.394740E+01
    67   0.178531E+04   0.285821E+00   0.146938E-02  -0.435009E+01
    68   0.180886E+04   0.298301E+00   0.151359E-02  -0.476254E+01
    69   0.183262E+04   0.311020E+00   0.155845E-02  -0.518248E+01
    70   0.185674E+04   0.323997E+00   0.160396E-02  -0.561109E+01
    71   0.188107E+04   0.337203E+00   0.165012E-02  -0.605047E+01
    72   0.190561E+04   0.350624E+00   0.169694E-02  -0.650258E+01
    73   0.193029E+04   0.364245E+00   0.174442E-02  -0.696884E+01
    74   0.195511E+04   0.378072E+00   0.179255E-02  -0.744918E+01
    75   0.198015E+04   0.392134E+00   0.184135E-02  -0.794293E+01
    76   0.200535E+04   0.406445E+00   0.189081E-02  -0.845002E+01
    77   0.203077E+04   0.420989E+00   0.194094E-02  -0.896986E+01
    78   0.205650E+04   0.435781E+00   0.199173E-02  -0.950320E+01
    79   0.208239E+04   0.450751E+00   0.204320E-02  -0.100456E+02
    80   0.210859E+04   0.465893E+00   0.209534E-02  -0.105978E+02
    81   0.213504E+04   0.481145E+00   0.214816E-02  -0.111597E+02
    82   0.216180E+04   0.496522E+00   0.220166E-02  -0.117305E+02
    83   0.218879E+04   0.511995E+00   0.225584E-02  -0.123099E+02
    84   0.221610E+04   0.527555E+00   0.231072E-02  -0.128962E+02
    85   0.224356E+04   0.543174E+00   0.236628E-02  -0.134907E+02
    86   0.227126E+04   0.558858E+00   0.242253E-02  -0.140924E+02
    87   0.229940E+04   0.574570E+00   0.247949E-02  -0.147003E+02
    88   0.232754E+04   0.590317E+00   0.253714E-02  -0.153143E+02
    89   0.235605E+04   0.606077E+00   0.259550E-02  -0.159356E+02
    90   0.238478E+04   0.621805E+00   0.265457E-02  -0.165610E+02
    91   0.241366E+04   0.637487E+00   0.271435E-02  -0.171910E+02
    92   0.244282E+04   0.653111E+00   0.277485E-02  -0.178251E+02
    93   0.247227E+04   0.668672E+00   0.283606E-02  -0.184633E+02
    94   0.250179E+04   0.684136E+00   0.289800E-02  -0.191041E+02
    95   0.253160E+04   0.699506E+00   0.296067E-02  -0.197485E+02
    96   0.256142E+04   0.714770E+00   0.302407E-02  -0.203959E+02
    97   0.259167E+04   0.729918E+00   0.308820E-02  -0.210455E+02
    98   0.262215E+04   0.744944E+00   0.315307E-02  -0.216953E+02
    99   0.265270E+04   0.759814E+00   0.321869E-02  -0.223483E+02
   100   0.268354E+04   0.774533E+00   0.328505E-02  -0.230001E+02
