#    L    TT             EE             TE             PP             TP          
     2   0.107695E+04   0.466566E-01   0.323325E+01   0.109483E+07   0.298907E+05
     3   0.101756E+04   0.744864E-01   0.398131E+01   0.168836E+07   0.358007E+05
     4   0.958633E+03   0.820277E-01   0.404797E+01   0.221547E+07   0.386266E+05
     5   0.912561E+03   0.713372E-01   0.371751E+01   0.268165E+07   0.397851E+05
     6   0.879201E+03   0.517375E-01   0.322201E+01   0.309396E+07   0.400141E+05
     7   0.856593E+03   0.324240E-01   0.268763E+01   0.346030E+07   0.397459E+05
     8   0.841933E+03   0.185445E-01   0.217832E+01   0.378704E+07   0.391556E+05
     9   0.833373E+03   0.108655E-01   0.174780E+01   0.407977E+07   0.383156E+05
    10   0.829538E+03   0.759321E-02   0.142378E+01   0.434239E+07   0.373152E+05
    11   0.829148E+03   0.645679E-02   0.120829E+01   0.457900E+07   0.362769E+05
    12   0.832275E+03   0.592576E-02   0.109071E+01   0.479258E+07   0.352696E+05
    13   0.837183E+03   0.552989E-02   0.104873E+01   0.498567E+07   0.343317E+05
    14   0.843188E+03   0.501990E-02   0.106327E+01   0.516029E+07   0.334459E+05
    15   0.850632E+03   0.455708E-02   0.111520E+01   0.531832E+07   0.325813E+05
    16   0.859872E+03   0.438747E-02   0.118640E+01   0.546152E+07   0.317134E+05
    17   0.870661E+03   0.464664E-02   0.126179E+01   0.559117E+07   0.308451E+05
    18   0.881952E+03   0.520283E-02   0.133081E+01   0.570846E+07   0.299856E+05
    19   0.894850E+03   0.581382E-02   0.139105E+01   0.581454E+07   0.291444E+05
    20   0.907936E+03   0.632355E-02   0.144025E+01   0.591059E+07   0.283311E+05
    21   0.921367E+03   0.675574E-02   0.148216E+01   0.599766E+07   0.275530E+05
    22   0.935216E+03   0.724753E-02   0.151845E+01   0.607636E+07   0.268100E+05
    23   0.949277E+03   0.796540E-02   0.155233E+01   0.614717E+07   0.261000E+05
    24   0.963639E+03   0.901938E-02   0.158738E+01   0.621056E+07   0.254209E+05
    25   0.978317E+03   0.104274E-01   0.162629E+01   0.626703E+07   0.247704E+05
    26   0.993179E+03   0.121390E-01   0.167213E+01   0.631705E+07   0.241465E+05
    27   0.100839E+04   0.140867E-01   0.172311E+01   0.636111E+07   0.235470E+05
    28   0.102374E+04   0.162342E-01   0.177741E+01   0.639969E+07   0.229697E+05
    29   0.103939E+04   0.185726E-01   0.183259E+01   0.643327E+07   0.224127E+05
    30   0.105537E+04   0.211080E-01   0.188450E+01   0.646235E+07   0.218737E+05
    31   0.107145E+04   0.238395E-01   0.192928E+01   0.648735E+07   0.213508E+05
    32   0.108780E+04   0.267511E-01   0.196385E+01   0.650851E+07   0.208436E+05
    33   0.110447E+04   0.298146E-01   0.198511E+01   0.652604E+07   0.203518E+05
    34   0.112139E+04   0.330159E-01   0.199125E+01   0.654013E+07   0.198751E+05
    35   0.113856E+04   0.363619E-01   0.198265E+01   0.655098E+07   0.194133E+05
    36   0.115590E+04   0.398779E-01   0.195956E+01   0.655878E+07   0.189662E+05
    37   0.117334E+04   0.436099E-01   0.192328E+01   0.656374E+07   0.185334E+05
    38   0.119109E+04   0.476050E-01   0.187703E+01   0.656603E+07   0.181148E+05
    39   0.120915E+04   0.518638E-01   0.182186E+01   0.656588E+07   0.177100E+05
    40   0.122729E+04   0.563814E-01   0.175811E+01   0.656346E+07   0.173190E+05
    41   0.124566E+04   0.611602E-01   0.168583E+01   0.655896E+07   0.169412E+05
    42   0.126404E+04   0.662134E-01   0.160476E+01   0.655251E+07   0.165764E+05
    43   0.128256E+04   0.715569E-01   0.151460E+01   0.654419E+07   0.162241E+05
    44   0.130109E+04   0.771915E-01   0.141594E+01   0.653413E+07   0.158839E+05
    45   0.131998E+04   0.831285E-01   0.130945E+01   0.652241E+07   0.155552E+05
    46   0.133917E+04   0.893754E-01   0.119342E+01   0.650915E+07   0.152377E+05
    47   0.135851E+04   0.959116E-01   0.106649E+01   0.649445E+07   0.149308E+05
    48   0.137790E+04   0.102716E+00   0.930081E+00   0.647841E+07   0.146342E+05
    49   0.139744E+04   0.109747E+00   0.785000E+00   0.646114E+07   0.143474E+05
    50   0.141734E+04   0.116952E+00   0.625279E+00   0.644273E+07   0.140699E+05
    51   0.143737E+04   0.124290E+00   0.444511E+00   0.642329E+07   0.138013E+05
    52   0.145776E+04   0.131871E+00   0.240177E+00   0.640287E+07   0.135413E+05
    53   0.147815E+04   0.139880E+00   0.125801E-01   0.638152E+07   0.132896E+05
    54   0.149847E+04   0.148346E+00  -0.230011E+00   0.635929E+07   0.130458E+05
    55   0.151893E+04   0.157285E+00  -0.479209E+00   0.633624E+07   0.128096E+05
    56   0.153977E+04   0.166575E+00  -0.733770E+00   0.631240E+07   0.125808E+05
    57   0.156091E+04   0.176084E+00  -0.994710E+00   0.628783E+07   0.123590E+05
    58   0.158237E+04   0.185780E+00  -0.126484E+01   0.626258E+07   0.121439E+05
    59   0.160399E+04   0.195664E+00  -0.154701E+01   0.623669E+07   0.119352E+05
    60   0.162579E+04   0.205749E+00  -0.184261E+01   0.621022E+07   0.117326E+05
    61   0.164805E+04   0.216103E+00  -0.215250E+01   0.618321E+07   0.115357E+05
    62   0.167018E+04   0.226736E+00  -0.247772E+01   0.615571E+07   0.113442E+05
    63   0.169241E+04   0.237644E+00  -0.281899E+01   0.612774E+07   0.111576E+05
    64   0.171501E+04   0.248875E+00  -0.317727E+01   0.609934E+07   0.109756E+05
    65   0.173763E+04   0.260441E+00  -0.355288E+01   0.607056E+07   0.107976E+05
    66   0.176055E+04   0.272302E+00  -0.394367E+01   0.604143E+07   0.106234E+05
    67   0.178362E+04   0.284445E+00  -0.434640E+01   0.601198E+07   0.104525E+05
    68   0.180713E+04   0.296889E+00  -0.475890E+01   0.598226E+07   0.102844E+05
    69   0.183085E+04   0.309571E+00  -0.517893E+01   0.595229E+07   0.101188E+05
    70   0.185494E+04   0.322511E+00  -0.560765E+01   0.592211E+07   0.995523E+04
    71   0.187923E+04   0.335680E+00  -0.604716E+01   0.589177E+07   0.979343E+04
    72   0.190373E+04   0.349065E+00  -0.649942E+01   0.586126E+07   0.963365E+04
    73   0.192838E+04   0.362649E+00  -0.696586E+01   0.583062E+07   0.947631E+04
    74   0.195316E+04   0.376439E+00  -0.744640E+01   0.579984E+07   0.932181E+04
