#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.108527E+04   0.324303E+01   0.324910E-02   0.324303E+01   0.472509E-01  -0.156485E-04   0.324910E-02  -0.156485E-04   0.525697E-07
     3   0.102374E+04   0.399027E+01   0.325891E-02   0.399027E+01   0.750288E-01  -0.188179E-04   0.325891E-02  -0.188179E-04   0.640723E-07
     4   0.963291E+03   0.405081E+01   0.319034E-02   0.405081E+01   0.821302E-01  -0.187392E-04   0.319034E-02  -0.187392E-04   0.739090E-07
     5   0.916164E+03   0.371356E+01   0.308985E-02   0.371356E+01   0.709526E-01  -0.163194E-04   0.308985E-02  -0.163194E-04   0.824594E-07
     6   0.882099E+03   0.321297E+01   0.297834E-02   0.321297E+01   0.510884E-01  -0.123589E-04   0.297834E-02  -0.123589E-04   0.899360E-07
     7   0.859021E+03   0.267443E+01   0.286774E-02   0.267443E+01   0.317927E-01  -0.782951E-05   0.286774E-02  -0.782951E-05   0.965305E-07
     8   0.844029E+03   0.216257E+01   0.275873E-02   0.216257E+01   0.181036E-01  -0.372825E-05   0.275873E-02  -0.372825E-05   0.102378E-06
     9   0.835230E+03   0.173235E+01   0.264928E-02   0.173235E+01   0.106335E-01  -0.659595E-06   0.264928E-02  -0.659595E-06   0.107593E-06
    10   0.831222E+03   0.141065E+01   0.254112E-02   0.141065E+01   0.749092E-02   0.135018E-05   0.254112E-02   0.135018E-05   0.112246E-06
    11   0.830704E+03   0.119898E+01   0.243958E-02   0.119898E+01   0.639607E-02   0.265308E-05   0.243958E-02   0.265308E-05   0.116420E-06
    12   0.833739E+03   0.108529E+01   0.234705E-02   0.108529E+01   0.586448E-02   0.311404E-05   0.234705E-02   0.311404E-05   0.120170E-06
    13   0.838583E+03   0.104595E+01   0.226423E-02   0.104595E+01   0.547102E-02   0.258028E-05   0.226423E-02   0.258028E-05   0.123541E-06
    14   0.844545E+03   0.106195E+01   0.218889E-02   0.106195E+01   0.497035E-02   0.142183E-05   0.218889E-02   0.142183E-05   0.126572E-06
    15   0.851960E+03   0.111457E+01   0.211811E-02   0.111457E+01   0.451734E-02   0.139409E-06   0.211811E-02   0.139409E-06   0.129295E-06
