#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.108528E+04   0.472511E-01   0.000000E+00   0.324304E+01   0.525667E-07   0.324909E-02  -0.156486E-04
     3   0.102376E+04   0.750291E-01   0.000000E+00   0.399031E+01   0.640679E-07   0.325889E-02  -0.188180E-04
     4   0.963308E+03   0.821306E-01   0.000000E+00   0.405087E+01   0.739033E-07   0.319031E-02  -0.187393E-04
     5   0.916184E+03   0.709531E-01   0.000000E+00   0.371364E+01   0.824525E-07   0.308981E-02  -0.163195E-04
     6   0.882121E+03   0.510888E-01   0.000000E+00   0.321304E+01   0.899278E-07   0.297828E-02  -0.123590E-04
     7   0.859046E+03   0.317930E-01   0.000000E+00   0.267448E+01   0.965210E-07   0.286766E-02  -0.782967E-05
     8   0.844057E+03   0.181037E-01   0.000000E+00   0.216260E+01   0.102367E-06   0.275864E-02  -0.372841E-05
     9   0.835263E+03   0.106334E-01   0.000000E+00   0.173236E+01   0.107581E-06   0.264918E-02  -0.659760E-06
    10   0.831259E+03   0.749083E-02   0.000000E+00   0.141064E+01   0.112233E-06   0.254101E-02   0.135001E-05
    11   0.830747E+03   0.639598E-02   0.000000E+00   0.119895E+01   0.116406E-06   0.243947E-02   0.265546E-05
    12   0.833788E+03   0.586442E-02   0.000000E+00   0.108527E+01   0.120154E-06   0.234691E-02   0.311387E-05
    13   0.838639E+03   0.547103E-02   0.000000E+00   0.104594E+01   0.123524E-06   0.226417E-02   0.257159E-05
    14   0.844609E+03   0.497044E-02   0.000000E+00   0.106195E+01   0.126553E-06   0.218883E-02   0.141266E-05
    15   0.852031E+03   0.451750E-02   0.000000E+00   0.111458E+01   0.129276E-06   0.211795E-02   0.139270E-06
    16   0.861259E+03   0.435327E-02   0.000000E+00   0.118606E+01   0.131725E-06   0.204929E-02  -0.849891E-06
    17   0.872043E+03   0.461390E-02   0.000000E+00   0.126149E+01   0.133923E-06   0.198260E-02  -0.151984E-05
    18   0.883336E+03   0.516967E-02   0.000000E+00   0.133039E+01   0.135892E-06   0.191817E-02  -0.192328E-05
    19   0.896243E+03   0.578034E-02   0.000000E+00   0.139045E+01   0.137654E-06   0.185634E-02  -0.211088E-05
    20   0.909346E+03   0.629189E-02   0.000000E+00   0.143953E+01   0.139231E-06   0.179750E-02  -0.213174E-05
    21   0.922801E+03   0.672960E-02   0.000000E+00   0.148143E+01   0.140644E-06   0.174195E-02  -0.203015E-05
    22   0.936682E+03   0.723052E-02   0.000000E+00   0.151784E+01   0.141902E-06   0.168953E-02  -0.183494E-05
    23   0.950781E+03   0.796057E-02   0.000000E+00   0.155192E+01   0.143015E-06   0.163996E-02  -0.157079E-05
    24   0.965187E+03   0.902926E-02   0.000000E+00   0.158723E+01   0.143990E-06   0.159299E-02  -0.126204E-05
    25   0.979917E+03   0.104540E-01   0.000000E+00   0.162643E+01   0.144835E-06   0.154839E-02  -0.932712E-06
    26   0.994835E+03   0.121837E-01   0.000000E+00   0.167255E+01   0.145560E-06   0.150595E-02  -0.606627E-06
    27   0.101011E+04   0.141504E-01   0.000000E+00   0.172380E+01   0.146174E-06   0.146546E-02  -0.307407E-06
    28   0.102552E+04   0.163173E-01   0.000000E+00   0.177830E+01   0.146686E-06   0.142673E-02  -0.585199E-07
    29   0.104125E+04   0.186750E-01   0.000000E+00   0.183358E+01   0.147106E-06   0.138958E-02   0.116691E-06
    30   0.105730E+04   0.212289E-01   0.000000E+00   0.188547E+01   0.147443E-06   0.135383E-02   0.194989E-06
    31   0.107346E+04   0.239778E-01   0.000000E+00   0.193009E+01   0.147705E-06   0.131934E-02   0.161109E-06
    32   0.108989E+04   0.269059E-01   0.000000E+00   0.196437E+01   0.147898E-06   0.128603E-02   0.313054E-07
    33   0.110665E+04   0.299853E-01   0.000000E+00   0.198521E+01   0.148024E-06   0.125388E-02  -0.170459E-06
    34   0.112366E+04   0.332023E-01   0.000000E+00   0.199079E+01   0.148087E-06   0.122283E-02  -0.420387E-06
    35   0.114093E+04   0.365641E-01   0.000000E+00   0.198153E+01   0.148090E-06   0.119287E-02  -0.694827E-06
    36   0.115837E+04   0.400963E-01   0.000000E+00   0.195769E+01   0.148037E-06   0.116395E-02  -0.970249E-06
    37   0.117591E+04   0.438454E-01   0.000000E+00   0.192056E+01   0.147932E-06   0.113604E-02  -0.122323E-05
    38   0.119376E+04   0.478586E-01   0.000000E+00   0.187337E+01   0.147778E-06   0.110912E-02  -0.143045E-05
    39   0.121192E+04   0.521371E-01   0.000000E+00   0.181720E+01   0.147580E-06   0.108316E-02  -0.156865E-05
    40   0.123017E+04   0.566761E-01   0.000000E+00   0.175239E+01   0.147341E-06   0.105814E-02  -0.161466E-05
    41   0.124865E+04   0.614783E-01   0.000000E+00   0.167898E+01   0.147064E-06   0.103402E-02  -0.155293E-05
    42   0.126714E+04   0.665571E-01   0.000000E+00   0.159674E+01   0.146752E-06   0.101077E-02  -0.139827E-05
    43   0.128578E+04   0.719280E-01   0.000000E+00   0.150534E+01   0.146406E-06   0.988372E-03  -0.117293E-05
    44   0.130442E+04   0.775918E-01   0.000000E+00   0.140538E+01   0.146029E-06   0.966778E-03  -0.899116E-06
    45   0.132344E+04   0.835598E-01   0.000000E+00   0.129752E+01   0.145622E-06   0.945961E-03  -0.598938E-06
    46   0.134275E+04   0.898392E-01   0.000000E+00   0.118003E+01   0.145188E-06   0.925889E-03  -0.294436E-06
    47   0.136221E+04   0.964094E-01   0.000000E+00   0.105158E+01   0.144728E-06   0.906532E-03  -0.759058E-08
    48   0.138173E+04   0.103250E+00   0.000000E+00   0.913559E+00   0.144244E-06   0.887859E-03   0.239674E-06
    49   0.140140E+04   0.110317E+00   0.000000E+00   0.766778E+00   0.143738E-06   0.869840E-03   0.425483E-06
    50   0.142143E+04   0.117560E+00   0.000000E+00   0.605262E+00   0.143213E-06   0.852447E-03   0.528006E-06
    51   0.144161E+04   0.124937E+00   0.000000E+00   0.422605E+00   0.142670E-06   0.835651E-03   0.532243E-06
    52   0.146214E+04   0.132558E+00   0.000000E+00   0.216292E+00   0.142110E-06   0.819425E-03   0.450341E-06
    53   0.148268E+04   0.140608E+00   0.000000E+00  -0.133645E-01   0.141534E-06   0.803745E-03   0.301192E-06
    54   0.150314E+04   0.149117E+00   0.000000E+00  -0.258085E+00   0.140943E-06   0.788586E-03   0.103636E-06
    55   0.152376E+04   0.158099E+00   0.000000E+00  -0.509474E+00   0.140337E-06   0.773921E-03  -0.123530E-06
    56   0.154475E+04   0.167435E+00   0.000000E+00  -0.766278E+00   0.139719E-06   0.759729E-03  -0.361548E-06
    57   0.156606E+04   0.176991E+00   0.000000E+00  -0.102951E+01   0.139088E-06   0.745983E-03  -0.591700E-06
    58   0.158768E+04   0.186735E+00   0.000000E+00  -0.130196E+01   0.138445E-06   0.732659E-03  -0.795298E-06
    59   0.160947E+04   0.196669E+00   0.000000E+00  -0.158647E+01   0.137792E-06   0.719735E-03  -0.953688E-06
    60   0.163143E+04   0.206805E+00   0.000000E+00  -0.188443E+01   0.137130E-06   0.707185E-03  -0.104824E-05
    61   0.165386E+04   0.217212E+00   0.000000E+00  -0.219669E+01   0.136458E-06   0.694986E-03  -0.106602E-05
    62   0.167617E+04   0.227899E+00   0.000000E+00  -0.252431E+01   0.135779E-06   0.683116E-03  -0.101669E-05
    63   0.169857E+04   0.238863E+00   0.000000E+00  -0.286801E+01   0.135092E-06   0.671549E-03  -0.915592E-06
    64   0.172136E+04   0.250152E+00   0.000000E+00  -0.322877E+01   0.134399E-06   0.660265E-03  -0.777997E-06
    65   0.174416E+04   0.261778E+00   0.000000E+00  -0.360693E+01   0.133700E-06   0.649238E-03  -0.619175E-06
    66   0.176727E+04   0.273699E+00   0.000000E+00  -0.400034E+01   0.132995E-06   0.638447E-03  -0.454365E-06
    67   0.179052E+04   0.285904E+00   0.000000E+00  -0.440580E+01   0.132286E-06   0.627868E-03  -0.298787E-06
    68   0.181423E+04   0.298412E+00   0.000000E+00  -0.482114E+01   0.131574E-06   0.617478E-03  -0.167639E-06
    69   0.183815E+04   0.311159E+00   0.000000E+00  -0.524412E+01   0.130858E-06   0.607256E-03  -0.761043E-07
    70   0.186243E+04   0.324165E+00   0.000000E+00  -0.567593E+01   0.130139E-06   0.597177E-03  -0.393455E-07
    71   0.188692E+04   0.337402E+00   0.000000E+00  -0.611869E+01   0.129419E-06   0.587228E-03  -0.680441E-07
    72   0.191163E+04   0.350855E+00   0.000000E+00  -0.657435E+01   0.128698E-06   0.577423E-03  -0.155009E-06
    73   0.193648E+04   0.364509E+00   0.000000E+00  -0.704429E+01   0.127975E-06   0.567785E-03  -0.288598E-06
    74   0.196148E+04   0.378369E+00   0.000000E+00  -0.752844E+01   0.127251E-06   0.558336E-03  -0.457181E-06
    75   0.198670E+04   0.392464E+00   0.000000E+00  -0.802612E+01   0.126527E-06   0.549099E-03  -0.649145E-06
    76   0.201208E+04   0.406809E+00   0.000000E+00  -0.853725E+01   0.125801E-06   0.540097E-03  -0.852889E-06
    77   0.203768E+04   0.421387E+00   0.000000E+00  -0.906121E+01   0.125075E-06   0.531352E-03  -0.105682E-05
    78   0.206360E+04   0.436212E+00   0.000000E+00  -0.959874E+01   0.124349E-06   0.522887E-03  -0.124938E-05
    79   0.208969E+04   0.451216E+00   0.000000E+00  -0.101454E+02   0.123623E-06   0.514724E-03  -0.141898E-05
    80   0.211609E+04   0.466390E+00   0.000000E+00  -0.107018E+02   0.122897E-06   0.506887E-03  -0.155407E-05
    81   0.214274E+04   0.481674E+00   0.000000E+00  -0.112681E+02   0.122172E-06   0.499389E-03  -0.164585E-05
    82   0.216971E+04   0.497082E+00   0.000000E+00  -0.118432E+02   0.121447E-06   0.492212E-03  -0.169649E-05
    83   0.219692E+04   0.512585E+00   0.000000E+00  -0.124270E+02   0.120723E-06   0.485328E-03  -0.171087E-05
    84   0.222444E+04   0.528175E+00   0.000000E+00  -0.130177E+02   0.120000E-06   0.478709E-03  -0.169389E-05
    85   0.225213E+04   0.543822E+00   0.000000E+00  -0.136166E+02   0.119279E-06   0.472329E-03  -0.165045E-05
    86   0.228005E+04   0.559533E+00   0.000000E+00  -0.142228E+02   0.118560E-06   0.466160E-03  -0.158541E-05
    87   0.230842E+04   0.575272E+00   0.000000E+00  -0.148353E+02   0.117842E-06   0.460175E-03  -0.150365E-05
