#           k/h    P           
   0.104501E-04   0.495834E+02
   0.127096E-04   0.599384E+02
   0.154576E-04   0.724558E+02
   0.187998E-04   0.875873E+02
   0.228647E-04   0.105879E+03
   0.278084E-04   0.127990E+03
   0.338210E-04   0.154718E+03
   0.411337E-04   0.187027E+03
   0.500274E-04   0.226081E+03
   0.608442E-04   0.273288E+03
   0.739997E-04   0.330347E+03
   0.899996E-04   0.399310E+03
   0.109459E-03   0.482656E+03
   0.133126E-03   0.583372E+03
   0.161910E-03   0.705056E+03
   0.196917E-03   0.852038E+03
   0.239494E-03   0.102951E+04
   0.291277E-03   0.124370E+04
   0.354256E-03   0.150199E+04
   0.430851E-03   0.181317E+04
   0.524009E-03   0.218752E+04
   0.637308E-03   0.263705E+04
   0.775104E-03   0.317557E+04
   0.942694E-03   0.381873E+04
   0.114652E-02   0.458390E+04
   0.139442E-02   0.548972E+04
   0.169591E-02   0.655526E+04
   0.206260E-02   0.779859E+04
   0.250856E-02   0.923466E+04
   0.305096E-02   0.108722E+05
   0.371062E-02   0.127099E+05
   0.451292E-02   0.147310E+05
   0.548869E-02   0.168968E+05
   0.667543E-02   0.191395E+05
   0.811877E-02   0.213545E+05
   0.987418E-02   0.233975E+05
   0.120091E-01   0.250607E+05
   0.146057E-01   0.261246E+05
   0.177637E-01   0.262932E+05
   0.216045E-01   0.253695E+05
   0.259254E-01   0.234407E+05
   0.302463E-01   0.211366E+05
   0.345672E-01   0.188619E+05
   0.388881E-01   0.168545E+05
   0.432090E-01   0.152155E+05
   0.475299E-01   0.139397E+05
   0.518508E-01   0.130000E+05
   0.561717E-01   0.122748E+05
   0.604926E-01   0.116799E+05
   0.648135E-01   0.111240E+05
   0.691344E-01   0.105447E+05
   0.734553E-01   0.990808E+04
   0.777762E-01   0.921490E+04
   0.820971E-01   0.848927E+04
   0.864180E-01   0.777096E+04
   0.907389E-01   0.709773E+04
   0.961016E-01   0.636975E+04
   0.101464E+00   0.579344E+04
   0.106827E+00   0.537244E+04
   0.112190E+00   0.507713E+04
   0.117552E+00   0.485918E+04
   0.122915E+00   0.467032E+04
   0.128278E+00   0.447261E+04
   0.133640E+00   0.424339E+04
   0.139003E+00   0.397909E+04
   0.144366E+00   0.369336E+04
   0.149728E+00   0.340801E+04
   0.155091E+00   0.314445E+04
   0.160454E+00   0.291933E+04
   0.165817E+00   0.274101E+04
   0.171179E+00   0.260699E+04
   0.176542E+00   0.250590E+04
   0.181905E+00   0.242321E+04
   0.187267E+00   0.234562E+04
   0.192630E+00   0.226264E+04
   0.197993E+00   0.216813E+04
   0.203355E+00   0.206195E+04
   0.208718E+00   0.194935E+04
   0.214081E+00   0.183786E+04
   0.219443E+00   0.173435E+04
   0.224806E+00   0.164361E+04
   0.230169E+00   0.156771E+04
   0.235531E+00   0.150583E+04
   0.240894E+00   0.145492E+04
   0.246257E+00   0.141075E+04
   0.251620E+00   0.136888E+04
   0.256982E+00   0.132563E+04
   0.262345E+00   0.127907E+04
   0.267708E+00   0.122939E+04
   0.273070E+00   0.117820E+04
   0.278433E+00   0.112758E+04
