#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.108527E+04   0.324304E+01   0.324907E-02   0.324304E+01   0.472510E-01  -0.156485E-04   0.324907E-02  -0.156485E-04   0.525666E-07
     3   0.102375E+04   0.399029E+01   0.325887E-02   0.399029E+01   0.750289E-01  -0.188180E-04   0.325887E-02  -0.188180E-04   0.640678E-07
     4   0.963298E+03   0.405083E+01   0.319029E-02   0.405083E+01   0.821303E-01  -0.187392E-04   0.319029E-02  -0.187392E-04   0.739032E-07
     5   0.916173E+03   0.371358E+01   0.308978E-02   0.371358E+01   0.709527E-01  -0.163194E-04   0.308978E-02  -0.163194E-04   0.824523E-07
     6   0.882110E+03   0.321299E+01   0.297826E-02   0.321299E+01   0.510884E-01  -0.123589E-04   0.297826E-02  -0.123589E-04   0.899276E-07
     7   0.859034E+03   0.267444E+01   0.286765E-02   0.267444E+01   0.317928E-01  -0.782955E-05   0.286765E-02  -0.782955E-05   0.965208E-07
     8   0.844046E+03   0.216258E+01   0.275862E-02   0.216258E+01   0.181036E-01  -0.372828E-05   0.275862E-02  -0.372828E-05   0.102367E-06
     9   0.835250E+03   0.173235E+01   0.264916E-02   0.173235E+01   0.106335E-01  -0.659631E-06   0.264916E-02  -0.659631E-06   0.107580E-06
    10   0.831245E+03   0.141065E+01   0.254100E-02   0.141065E+01   0.749091E-02   0.135014E-05   0.254100E-02   0.135014E-05   0.112233E-06
    11   0.830732E+03   0.119897E+01   0.243944E-02   0.119897E+01   0.639607E-02   0.265304E-05   0.243944E-02   0.265304E-05   0.116405E-06
    12   0.833771E+03   0.108528E+01   0.234690E-02   0.108528E+01   0.586448E-02   0.311400E-05   0.234690E-02   0.311400E-05   0.120154E-06
    13   0.838620E+03   0.104595E+01   0.226407E-02   0.104595E+01   0.547105E-02   0.258024E-05   0.226407E-02   0.258024E-05   0.123524E-06
    14   0.844588E+03   0.106195E+01   0.218873E-02   0.106195E+01   0.497040E-02   0.142178E-05   0.218873E-02   0.142178E-05   0.126553E-06
    15   0.852009E+03   0.111457E+01   0.211794E-02   0.111457E+01   0.451741E-02   0.139368E-06   0.211794E-02   0.139368E-06   0.129275E-06
    16   0.861234E+03   0.118605E+01   0.204929E-02   0.118605E+01   0.435314E-02  -0.858488E-06   0.204929E-02  -0.858488E-06   0.131724E-06
    17   0.872016E+03   0.126147E+01   0.198259E-02   0.126147E+01   0.461376E-02  -0.153205E-05   0.198259E-02  -0.153205E-05   0.133922E-06
    18   0.883306E+03   0.133037E+01   0.191816E-02   0.133037E+01   0.516951E-02  -0.193379E-05   0.191816E-02  -0.193379E-05   0.135891E-06
    19   0.896211E+03   0.139043E+01   0.185635E-02   0.139043E+01   0.578019E-02  -0.211617E-05   0.185635E-02  -0.211617E-05   0.137653E-06
    20   0.909312E+03   0.143951E+01   0.179749E-02   0.143951E+01   0.629174E-02  -0.213166E-05   0.179749E-02  -0.213166E-05   0.139230E-06
    21   0.922764E+03   0.148142E+01   0.174182E-02   0.148142E+01   0.672944E-02  -0.202788E-05   0.174182E-02  -0.202788E-05   0.140641E-06
    22   0.936642E+03   0.151782E+01   0.168923E-02   0.151782E+01   0.723034E-02  -0.183307E-05   0.168923E-02  -0.183307E-05   0.141897E-06
    23   0.950739E+03   0.155191E+01   0.163950E-02   0.155191E+01   0.796038E-02  -0.157063E-05   0.163950E-02  -0.157063E-05   0.143007E-06
    24   0.965142E+03   0.158722E+01   0.159243E-02   0.158722E+01   0.902904E-02  -0.126395E-05   0.159243E-02  -0.126395E-05   0.143980E-06
    25   0.979868E+03   0.162643E+01   0.154779E-02   0.162643E+01   0.104537E-01  -0.936425E-06   0.154779E-02  -0.936425E-06   0.144825E-06
    26   0.994783E+03   0.167255E+01   0.150539E-02   0.167255E+01   0.121834E-01  -0.611452E-06   0.150539E-02  -0.611452E-06   0.145551E-06
    27   0.101005E+04   0.172380E+01   0.146500E-02   0.172380E+01   0.141501E-01  -0.312425E-06   0.146500E-02  -0.312425E-06   0.146167E-06
    28   0.102547E+04   0.177831E+01   0.142642E-02   0.177831E+01   0.163169E-01  -0.627386E-07   0.142642E-02  -0.627386E-07   0.146681E-06
    29   0.104119E+04   0.183359E+01   0.138943E-02   0.183359E+01   0.186745E-01   0.114213E-06   0.138943E-02   0.114213E-06   0.147103E-06
    30   0.105724E+04   0.188549E+01   0.135382E-02   0.188549E+01   0.212284E-01   0.195034E-06   0.135382E-02   0.195034E-06   0.147442E-06
    31   0.107340E+04   0.193012E+01   0.131941E-02   0.193012E+01   0.239772E-01   0.164147E-06   0.131941E-02   0.164147E-06   0.147705E-06
    32   0.108982E+04   0.196440E+01   0.128615E-02   0.196440E+01   0.269051E-01   0.372375E-07   0.128615E-02   0.372375E-07   0.147898E-06
    33   0.110657E+04   0.198525E+01   0.125401E-02   0.198525E+01   0.299844E-01  -0.162193E-06   0.125401E-02  -0.162193E-06   0.148024E-06
    34   0.112358E+04   0.199084E+01   0.122296E-02   0.199084E+01   0.332013E-01  -0.410644E-06   0.122296E-02  -0.410644E-06   0.148086E-06
    35   0.114085E+04   0.198159E+01   0.119297E-02   0.198159E+01   0.365629E-01  -0.684611E-06   0.119297E-02  -0.684611E-06   0.148089E-06
    36   0.115828E+04   0.195775E+01   0.116402E-02   0.195775E+01   0.400949E-01  -0.960594E-06   0.116402E-02  -0.960594E-06   0.148036E-06
    37   0.117581E+04   0.192063E+01   0.113609E-02   0.192063E+01   0.438438E-01  -0.121509E-05   0.113609E-02  -0.121509E-05   0.147931E-06
    38   0.119366E+04   0.187345E+01   0.110915E-02   0.187345E+01   0.478568E-01  -0.142460E-05   0.110915E-02  -0.142460E-05   0.147777E-06
    39   0.121182E+04   0.181729E+01   0.108316E-02   0.181729E+01   0.521350E-01  -0.156562E-05   0.108316E-02  -0.156562E-05   0.147578E-06
    40   0.123007E+04   0.175249E+01   0.105812E-02   0.175249E+01   0.566736E-01  -0.161464E-05   0.105812E-02  -0.161464E-05   0.147339E-06
    41   0.124854E+04   0.167910E+01   0.103398E-02   0.167910E+01   0.614755E-01  -0.155577E-05   0.103398E-02  -0.155577E-05   0.147062E-06
    42   0.126703E+04   0.159687E+01   0.101072E-02   0.159687E+01   0.665539E-01  -0.140349E-05   0.101072E-02  -0.140349E-05   0.146749E-06
    43   0.128566E+04   0.150549E+01   0.988306E-03   0.150549E+01   0.719245E-01  -0.117987E-05   0.988306E-03  -0.117987E-05   0.146403E-06
    44   0.130430E+04   0.140554E+01   0.966706E-03   0.140554E+01   0.775878E-01  -0.907002E-06   0.966706E-03  -0.907002E-06   0.146026E-06
    45   0.132331E+04   0.129770E+01   0.945889E-03   0.129770E+01   0.835553E-01  -0.606957E-06   0.945889E-03  -0.606957E-06   0.145619E-06
    46   0.134262E+04   0.118023E+01   0.925822E-03   0.118023E+01   0.898342E-01  -0.301818E-06   0.925822E-03  -0.301818E-06   0.145185E-06
    47   0.136207E+04   0.105180E+01   0.906473E-03   0.105180E+01   0.964038E-01  -0.136663E-07   0.906473E-03  -0.136663E-07   0.144725E-06
    48   0.138160E+04   0.913804E+00   0.887812E-03   0.913804E+00   0.103243E+00   0.235419E-06   0.887812E-03   0.235419E-06   0.144241E-06
    49   0.140126E+04   0.767048E+00   0.869805E-03   0.767048E+00   0.110310E+00   0.423358E-06   0.869805E-03   0.423358E-06   0.143735E-06
    50   0.142129E+04   0.605560E+00   0.852422E-03   0.605560E+00   0.117553E+00   0.528071E-06   0.852422E-03   0.528071E-06   0.143210E-06
    51   0.144146E+04   0.422931E+00   0.835631E-03   0.422931E+00   0.124928E+00   0.534289E-06   0.835631E-03   0.534289E-06   0.142667E-06
    52   0.146199E+04   0.216650E+00   0.819407E-03   0.216650E+00   0.132548E+00   0.453992E-06   0.819407E-03   0.453992E-06   0.142107E-06
    53   0.148252E+04  -0.129728E-01   0.803727E-03  -0.129728E-01   0.140598E+00   0.305970E-06   0.803727E-03   0.305970E-06   0.141531E-06
