#    L    TT             EE             BB             TE          
     2   0.107811E+04   0.466864E-01   0.184270E-05   0.324037E+01
     3   0.101861E+04   0.745192E-01   0.368598E-05   0.398806E+01
     4   0.959578E+03   0.820523E-01   0.614459E-05   0.405333E+01
     5   0.913433E+03   0.713503E-01   0.921928E-05   0.372138E+01
     6   0.880026E+03   0.517438E-01   0.129110E-04   0.322474E+01
     7   0.857387E+03   0.324314E-01   0.172208E-04   0.268950E+01
     8   0.842708E+03   0.185589E-01   0.221501E-04   0.217960E+01
     9   0.834139E+03   0.108891E-01   0.277001E-04   0.174872E+01
    10   0.830302E+03   0.762562E-02   0.338726E-04   0.142452E+01
    11   0.829916E+03   0.649694E-02   0.406691E-04   0.120898E+01
    12   0.833051E+03   0.597340E-02   0.480914E-04   0.109139E+01
    13   0.837967E+03   0.558553E-02   0.561416E-04   0.104939E+01
    14   0.843981E+03   0.508423E-02   0.648214E-04   0.106391E+01
    15   0.851436E+03   0.463073E-02   0.741331E-04   0.111583E+01
    16   0.860688E+03   0.447107E-02   0.840787E-04   0.118704E+01
    17   0.871490E+03   0.474084E-02   0.946603E-04   0.126247E+01
    18   0.882795E+03   0.530830E-02   0.105880E-03   0.133154E+01
    19   0.895708E+03   0.593125E-02   0.117740E-03   0.139184E+01
    20   0.908810E+03   0.645367E-02   0.130243E-03   0.144112E+01
    21   0.922258E+03   0.689927E-02   0.143390E-03   0.148309E+01
    22   0.936126E+03   0.740520E-02   0.157184E-03   0.151945E+01
    23   0.950205E+03   0.813794E-02   0.171626E-03   0.155339E+01
    24   0.964587E+03   0.920750E-02   0.186719E-03   0.158850E+01
    25   0.979285E+03   0.106318E-01   0.202465E-03   0.162746E+01
    26   0.994169E+03   0.123604E-01   0.218864E-03   0.167335E+01
    27   0.100940E+04   0.143257E-01   0.235919E-03   0.172438E+01
    28   0.102477E+04   0.164915E-01   0.253631E-03   0.177872E+01
    29   0.104045E+04   0.188489E-01   0.272002E-03   0.183392E+01
    30   0.105645E+04   0.214040E-01   0.291032E-03   0.188586E+01
    31   0.107256E+04   0.241557E-01   0.310723E-03   0.193065E+01
    32   0.108893E+04   0.270882E-01   0.331076E-03   0.196523E+01
    33   0.110563E+04   0.301732E-01   0.352091E-03   0.198651E+01
    34   0.112258E+04   0.333968E-01   0.373768E-03   0.199264E+01
