#    L    TT             EE             BB             TE          
     2   0.107695E+04   0.466585E-01   0.185963E-05   0.323325E+01
     3   0.101757E+04   0.744901E-01   0.371985E-05   0.398131E+01
     4   0.958645E+03   0.820339E-01   0.620103E-05   0.404797E+01
     5   0.912578E+03   0.713465E-01   0.930394E-05   0.371751E+01
     6   0.879226E+03   0.517505E-01   0.130295E-04   0.322201E+01
     7   0.856625E+03   0.324414E-01   0.173789E-04   0.268762E+01
     8   0.841974E+03   0.185669E-01   0.223533E-04   0.217832E+01
     9   0.833425E+03   0.108934E-01   0.279542E-04   0.174779E+01
    10   0.829601E+03   0.762739E-02   0.341831E-04   0.142377E+01
    11   0.829223E+03   0.649783E-02   0.410418E-04   0.120828E+01
    12   0.832364E+03   0.597429E-02   0.485320E-04   0.109069E+01
    13   0.837286E+03   0.558654E-02   0.566556E-04   0.104870E+01
    14   0.843307E+03   0.508531E-02   0.654147E-04   0.106323E+01
    15   0.850767E+03   0.463188E-02   0.748112E-04   0.111515E+01
    16   0.860024E+03   0.447230E-02   0.848473E-04   0.118634E+01
    17   0.870831E+03   0.474213E-02   0.955252E-04   0.126172E+01
    18   0.882141E+03   0.530963E-02   0.106847E-03   0.133071E+01
    19   0.895058E+03   0.593258E-02   0.118815E-03   0.139093E+01
    20   0.908165E+03   0.645491E-02   0.131430E-03   0.144011E+01
    21   0.921617E+03   0.690033E-02   0.144697E-03   0.148199E+01
    22   0.935489E+03   0.740601E-02   0.158615E-03   0.151825E+01
    23   0.949572E+03   0.813841E-02   0.173188E-03   0.155209E+01
    24   0.963957E+03   0.920757E-02   0.188417E-03   0.158710E+01
    25   0.978660E+03   0.106314E-01   0.204304E-03   0.162597E+01
    26   0.993546E+03   0.123595E-01   0.220851E-03   0.167176E+01
    27   0.100878E+04   0.143243E-01   0.238059E-03   0.172270E+01
    28   0.102416E+04   0.164896E-01   0.255931E-03   0.177694E+01
    29   0.103984E+04   0.188464E-01   0.274466E-03   0.183205E+01
    30   0.105584E+04   0.214009E-01   0.293667E-03   0.188390E+01
    31   0.107195E+04   0.241520E-01   0.313534E-03   0.192861E+01
    32   0.108832E+04   0.270839E-01   0.334068E-03   0.196310E+01
    33   0.110502E+04   0.301683E-01   0.355271E-03   0.198429E+01
    34   0.112197E+04   0.333913E-01   0.377141E-03   0.199034E+01
    35   0.113918E+04   0.367595E-01   0.399681E-03   0.198165E+01
    36   0.115655E+04   0.402982E-01   0.422890E-03   0.195847E+01
    37   0.117401E+04   0.440537E-01   0.446768E-03   0.192209E+01
    38   0.119179E+04   0.480728E-01   0.471315E-03   0.187573E+01
    39   0.120988E+04   0.523563E-01   0.496531E-03   0.182046E+01
    40   0.122806E+04   0.568991E-01   0.522415E-03   0.175661E+01
    41   0.124646E+04   0.617037E-01   0.548967E-03   0.168421E+01
    42   0.126486E+04   0.667834E-01   0.576186E-03   0.160302E+01
    43   0.128342E+04   0.721538E-01   0.604072E-03   0.151274E+01
    44   0.130198E+04   0.778159E-01   0.632623E-03   0.141397E+01
    45   0.132091E+04   0.837809E-01   0.661839E-03   0.130736E+01
    46   0.134013E+04   0.900564E-01   0.691718E-03   0.119120E+01
    47   0.135949E+04   0.966216E-01   0.722259E-03   0.106415E+01
    48   0.137893E+04   0.103456E+00   0.753461E-03   0.927614E+00
    49   0.139850E+04   0.110516E+00   0.785324E-03   0.782411E+00
    50   0.141843E+04   0.117753E+00   0.817845E-03   0.622569E+00
    51   0.143849E+04   0.125121E+00   0.851023E-03   0.441683E+00
    52   0.145892E+04   0.132734E+00   0.884858E-03   0.237233E+00
    53   0.147935E+04   0.140775E+00   0.919348E-03   0.952395E-02
    54   0.149969E+04   0.149273E+00   0.954491E-03  -0.233174E+00
    55   0.152019E+04   0.158244E+00   0.990288E-03  -0.482474E+00
    56   0.154107E+04   0.167568E+00   0.102674E-02  -0.737130E+00
    57   0.156225E+04   0.177110E+00   0.106384E-02  -0.998158E+00
    58   0.158374E+04   0.186841E+00   0.110159E-02  -0.126837E+01
