#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.107695E+04   0.466566E-01   0.000000E+00   0.323325E+01   0.527783E-07   0.320661E-02  -0.155557E-04
     3   0.101756E+04   0.744864E-01   0.000000E+00   0.398131E+01   0.643086E-07   0.321865E-02  -0.187506E-04
     4   0.958633E+03   0.820277E-01   0.000000E+00   0.404797E+01   0.741673E-07   0.315228E-02  -0.187334E-04
     5   0.912561E+03   0.713372E-01   0.000000E+00   0.371751E+01   0.827357E-07   0.305398E-02  -0.163935E-04
     6   0.879201E+03   0.517375E-01   0.000000E+00   0.322201E+01   0.902270E-07   0.294447E-02  -0.125059E-04
     7   0.856593E+03   0.324240E-01   0.000000E+00   0.268763E+01   0.968336E-07   0.283566E-02  -0.801147E-05
     8   0.841933E+03   0.185445E-01   0.000000E+00   0.217832E+01   0.102691E-06   0.272833E-02  -0.389704E-05
     9   0.833373E+03   0.108655E-01   0.000000E+00   0.174780E+01   0.107914E-06   0.262051E-02  -0.788282E-06
    10   0.829538E+03   0.759321E-02   0.000000E+00   0.142378E+01   0.112575E-06   0.251390E-02   0.126071E-05
    11   0.829148E+03   0.645679E-02   0.000000E+00   0.120829E+01   0.116755E-06   0.241372E-02   0.259842E-05
    12   0.832275E+03   0.592576E-02   0.000000E+00   0.109071E+01   0.120509E-06   0.232230E-02   0.309905E-05
    13   0.837183E+03   0.552989E-02   0.000000E+00   0.104873E+01   0.123886E-06   0.224050E-02   0.262142E-05
    14   0.843188E+03   0.501990E-02   0.000000E+00   0.106327E+01   0.126920E-06   0.216602E-02   0.152877E-05
    15   0.850632E+03   0.455708E-02   0.000000E+00   0.111520E+01   0.129646E-06   0.209597E-02   0.294916E-06
    16   0.859872E+03   0.438747E-02   0.000000E+00   0.118640E+01   0.132099E-06   0.202820E-02  -0.701856E-06
    17   0.870661E+03   0.464664E-02   0.000000E+00   0.126179E+01   0.134301E-06   0.196243E-02  -0.141765E-05
    18   0.881952E+03   0.520283E-02   0.000000E+00   0.133081E+01   0.136273E-06   0.189892E-02  -0.188936E-05
    19   0.894850E+03   0.581382E-02   0.000000E+00   0.139105E+01   0.138037E-06   0.183799E-02  -0.215218E-05
    20   0.907936E+03   0.632355E-02   0.000000E+00   0.144025E+01   0.139617E-06   0.178000E-02  -0.224006E-05
    21   0.921367E+03   0.675574E-02   0.000000E+00   0.148216E+01   0.141032E-06   0.172523E-02  -0.218531E-05
    22   0.935216E+03   0.724753E-02   0.000000E+00   0.151845E+01   0.142292E-06   0.167351E-02  -0.201700E-05
    23   0.949277E+03   0.796540E-02   0.000000E+00   0.155233E+01   0.143407E-06   0.162458E-02  -0.176300E-05
    24   0.963639E+03   0.901938E-02   0.000000E+00   0.158738E+01   0.144383E-06   0.157818E-02  -0.145076E-05
    25   0.978317E+03   0.104274E-01   0.000000E+00   0.162629E+01   0.145230E-06   0.153411E-02  -0.110742E-05
    26   0.993179E+03   0.121390E-01   0.000000E+00   0.167213E+01   0.145956E-06   0.149215E-02  -0.759798E-06
    27   0.100839E+04   0.140867E-01   0.000000E+00   0.172311E+01   0.146571E-06   0.145211E-02  -0.434535E-06
    28   0.102374E+04   0.162342E-01   0.000000E+00   0.177741E+01   0.147084E-06   0.141381E-02  -0.158068E-06
    29   0.103939E+04   0.185726E-01   0.000000E+00   0.183259E+01   0.147505E-06   0.137706E-02   0.433099E-07
    30   0.105537E+04   0.211080E-01   0.000000E+00   0.188450E+01   0.147842E-06   0.134170E-02   0.143432E-06
    31   0.107145E+04   0.238395E-01   0.000000E+00   0.192928E+01   0.148106E-06   0.130759E-02   0.124799E-06
    32   0.108780E+04   0.267511E-01   0.000000E+00   0.196385E+01   0.148299E-06   0.127466E-02   0.415155E-08
    33   0.110447E+04   0.298146E-01   0.000000E+00   0.198511E+01   0.148425E-06   0.124287E-02  -0.193388E-06
    34   0.112139E+04   0.330159E-01   0.000000E+00   0.199125E+01   0.148488E-06   0.121218E-02  -0.442873E-06
    35   0.113856E+04   0.363619E-01   0.000000E+00   0.198265E+01   0.148492E-06   0.118257E-02  -0.719510E-06
    36   0.115590E+04   0.398779E-01   0.000000E+00   0.195956E+01   0.148440E-06   0.115399E-02  -0.998635E-06
    37   0.117334E+04   0.436099E-01   0.000000E+00   0.192328E+01   0.148335E-06   0.112642E-02  -0.125570E-05
    38   0.119109E+04   0.476050E-01   0.000000E+00   0.187703E+01   0.148181E-06   0.109984E-02  -0.146625E-05
    39   0.120915E+04   0.518638E-01   0.000000E+00   0.182186E+01   0.147983E-06   0.107420E-02  -0.160592E-05
    40   0.122729E+04   0.563814E-01   0.000000E+00   0.175811E+01   0.147743E-06   0.104950E-02  -0.165041E-05
    41   0.124566E+04   0.611602E-01   0.000000E+00   0.168583E+01   0.147467E-06   0.102569E-02  -0.158342E-05
    42   0.126404E+04   0.662134E-01   0.000000E+00   0.160476E+01   0.147154E-06   0.100275E-02  -0.142029E-05
    43   0.128256E+04   0.715569E-01   0.000000E+00   0.151460E+01   0.146809E-06   0.980645E-03  -0.118420E-05
    44   0.130109E+04   0.771915E-01   0.000000E+00   0.141594E+01   0.146432E-06   0.959334E-03  -0.898223E-06
    45   0.131998E+04   0.831285E-01   0.000000E+00   0.130945E+01   0.146025E-06   0.938788E-03  -0.585370E-06
    46   0.133917E+04   0.893754E-01   0.000000E+00   0.119342E+01   0.145590E-06   0.918972E-03  -0.268567E-06
    47   0.135851E+04   0.959116E-01   0.000000E+00   0.106649E+01   0.145130E-06   0.899855E-03   0.293203E-07
    48   0.137790E+04   0.102716E+00   0.000000E+00   0.930081E+00   0.144646E-06   0.881405E-03   0.285486E-06
    49   0.139744E+04   0.109747E+00   0.000000E+00   0.785000E+00   0.144140E-06   0.863590E-03   0.477175E-06
    50   0.141734E+04   0.116952E+00   0.000000E+00   0.625279E+00   0.143614E-06   0.846380E-03   0.581678E-06
    51   0.143737E+04   0.124290E+00   0.000000E+00   0.444511E+00   0.143071E-06   0.829745E-03   0.583402E-06
    52   0.145776E+04   0.131871E+00   0.000000E+00   0.240177E+00   0.142511E-06   0.813661E-03   0.495053E-06
    53   0.147815E+04   0.139880E+00   0.000000E+00   0.125801E-01   0.141934E-06   0.798108E-03   0.336359E-06
    54   0.149847E+04   0.148346E+00   0.000000E+00  -0.230011E+00   0.141343E-06   0.783064E-03   0.127000E-06
    55   0.151893E+04   0.157285E+00   0.000000E+00  -0.479209E+00   0.140738E-06   0.768508E-03  -0.113391E-06
    56   0.153977E+04   0.166575E+00   0.000000E+00  -0.733770E+00   0.140119E-06   0.754419E-03  -0.365225E-06
    57   0.156091E+04   0.176084E+00   0.000000E+00  -0.994710E+00   0.139487E-06   0.740776E-03  -0.608948E-06
    58   0.158237E+04   0.185780E+00   0.000000E+00  -0.126484E+01   0.138845E-06   0.727558E-03  -0.825045E-06
    59   0.160399E+04   0.195664E+00   0.000000E+00  -0.154701E+01   0.138191E-06   0.714746E-03  -0.994031E-06
    60   0.162579E+04   0.205749E+00   0.000000E+00  -0.184261E+01   0.137528E-06   0.702319E-03  -0.109645E-05
    61   0.164805E+04   0.216103E+00   0.000000E+00  -0.215250E+01   0.136857E-06   0.690256E-03  -0.111873E-05
    62   0.167018E+04   0.226736E+00   0.000000E+00  -0.247772E+01   0.136177E-06   0.678532E-03  -0.107074E-05
    63   0.169241E+04   0.237644E+00   0.000000E+00  -0.281899E+01   0.135490E-06   0.667120E-03  -0.968183E-06
    64   0.171501E+04   0.248875E+00   0.000000E+00  -0.317727E+01   0.134796E-06   0.655996E-03  -0.826720E-06
    65   0.173763E+04   0.260441E+00   0.000000E+00  -0.355288E+01   0.134097E-06   0.645132E-03  -0.661999E-06
    66   0.176055E+04   0.272302E+00   0.000000E+00  -0.394367E+01   0.133392E-06   0.634504E-03  -0.489642E-06
    67   0.178362E+04   0.284445E+00   0.000000E+00  -0.434640E+01   0.132683E-06   0.624086E-03  -0.325248E-06
    68   0.180713E+04   0.296889E+00   0.000000E+00  -0.475890E+01   0.131969E-06   0.613852E-03  -0.184394E-06
    69   0.183085E+04   0.309571E+00   0.000000E+00  -0.517893E+01   0.131253E-06   0.603776E-03  -0.826417E-07
    70   0.185494E+04   0.322511E+00   0.000000E+00  -0.560765E+01   0.130534E-06   0.593835E-03  -0.355319E-07
    71   0.187923E+04   0.335680E+00   0.000000E+00  -0.604716E+01   0.129814E-06   0.584009E-03  -0.541060E-07
    72   0.190373E+04   0.349065E+00   0.000000E+00  -0.649942E+01   0.129092E-06   0.574315E-03  -0.131460E-06
