#    L    TT             EE             TE             PP             TP          
     2   0.107044E+04   0.346589E-01   0.280145E+01   0.109285E+07   0.296285E+05
     3   0.101323E+04   0.473828E-01   0.322998E+01   0.168554E+07   0.354093E+05
     4   0.957854E+03   0.443774E-01   0.310230E+01   0.221196E+07   0.381085E+05
     5   0.915945E+03   0.324587E-01   0.270112E+01   0.267760E+07   0.391620E+05
     6   0.886871E+03   0.197994E-01   0.223428E+01   0.308946E+07   0.393221E+05
     7   0.868176E+03   0.108907E-01   0.179837E+01   0.345544E+07   0.390202E+05
     8   0.856780E+03   0.625370E-02   0.143114E+01   0.378187E+07   0.384229E+05
     9   0.851086E+03   0.437353E-02   0.116178E+01   0.407437E+07   0.375977E+05
    10   0.849603E+03   0.362023E-02   0.994735E+00   0.433679E+07   0.366295E+05
    11   0.851065E+03   0.322111E-02   0.915234E+00   0.457323E+07   0.356354E+05
    12   0.855696E+03   0.281468E-02   0.902157E+00   0.478669E+07   0.346721E+05
    13   0.861906E+03   0.274673E-02   0.927245E+00   0.497968E+07   0.337668E+05
    14   0.869053E+03   0.276539E-02   0.978661E+00   0.515422E+07   0.329019E+05
    15   0.877498E+03   0.282468E-02   0.104782E+01   0.531219E+07   0.320488E+05
    16   0.887617E+03   0.300689E-02   0.112587E+01   0.545534E+07   0.311854E+05
    17   0.899190E+03   0.345772E-02   0.120185E+01   0.558497E+07   0.303167E+05
    18   0.911197E+03   0.409902E-02   0.126802E+01   0.570224E+07   0.294540E+05
    19   0.924775E+03   0.474219E-02   0.132481E+01   0.580831E+07   0.286087E+05
    20   0.938532E+03   0.528478E-02   0.137281E+01   0.590437E+07   0.277924E+05
    21   0.952649E+03   0.579386E-02   0.141797E+01   0.599146E+07   0.270141E+05
    22   0.967202E+03   0.640897E-02   0.146184E+01   0.607018E+07   0.262736E+05
    23   0.981984E+03   0.728873E-02   0.150686E+01   0.614101E+07   0.255684E+05
    24   0.997082E+03   0.853529E-02   0.155586E+01   0.620443E+07   0.248958E+05
    25   0.101251E+04   0.101587E-01   0.161078E+01   0.626093E+07   0.242532E+05
    26   0.102814E+04   0.121007E-01   0.167394E+01   0.631099E+07   0.236382E+05
    27   0.104412E+04   0.142858E-01   0.174280E+01   0.635510E+07   0.230480E+05
    28   0.106025E+04   0.166700E-01   0.181479E+01   0.639373E+07   0.224801E+05
    29   0.107670E+04   0.192365E-01   0.188670E+01   0.642736E+07   0.219320E+05
    30   0.109347E+04   0.219835E-01   0.195365E+01   0.645649E+07   0.214010E+05
    31   0.111035E+04   0.249042E-01   0.201116E+01   0.648154E+07   0.208850E+05
    32   0.112750E+04   0.279847E-01   0.205609E+01   0.650277E+07   0.203836E+05
    33   0.114499E+04   0.312010E-01   0.208545E+01   0.652035E+07   0.198968E+05
    34   0.116273E+04   0.345431E-01   0.209748E+01   0.653450E+07   0.194248E+05
    35   0.118072E+04   0.380221E-01   0.209266E+01   0.654541E+07   0.189674E+05
    36   0.119889E+04   0.416672E-01   0.207134E+01   0.655327E+07   0.185248E+05
    37   0.121716E+04   0.455289E-01   0.203489E+01   0.655829E+07   0.180969E+05
    38   0.123575E+04   0.496580E-01   0.198661E+01   0.656065E+07   0.176839E+05
    39   0.125465E+04   0.540595E-01   0.192766E+01   0.656056E+07   0.172857E+05
    40   0.127364E+04   0.587325E-01   0.185845E+01   0.655820E+07   0.169024E+05
    41   0.129286E+04   0.636829E-01   0.177912E+01   0.655377E+07   0.165339E+05
    42   0.131210E+04   0.689245E-01   0.168967E+01   0.654738E+07   0.161795E+05
    43   0.133149E+04   0.744730E-01   0.159003E+01   0.653913E+07   0.158385E+05
    44   0.135090E+04   0.803292E-01   0.148105E+01   0.652913E+07   0.155101E+05
    45   0.137068E+04   0.865043E-01   0.136363E+01   0.651748E+07   0.151934E+05
    46   0.139076E+04   0.930057E-01   0.123630E+01   0.650428E+07   0.148878E+05
    47   0.141100E+04   0.998126E-01   0.109799E+01   0.648965E+07   0.145924E+05
    48   0.143132E+04   0.106904E+00   0.950332E+00   0.647367E+07   0.143064E+05
    49   0.145179E+04   0.114238E+00   0.794397E+00   0.645646E+07   0.140291E+05
    50   0.147264E+04   0.121763E+00   0.624461E+00   0.643812E+07   0.137597E+05
    51   0.149363E+04   0.129435E+00   0.434292E+00   0.641874E+07   0.134975E+05
    52   0.151500E+04   0.137366E+00   0.221249E+00   0.639839E+07   0.132423E+05
    53   0.153638E+04   0.145740E+00  -0.145629E-01   0.637710E+07   0.129941E+05
    54   0.155769E+04   0.154584E+00  -0.265070E+00   0.635494E+07   0.127527E+05
    55   0.157916E+04   0.163913E+00  -0.522083E+00   0.633194E+07   0.125181E+05
    56   0.160102E+04   0.173607E+00  -0.784553E+00   0.630817E+07   0.122902E+05
    57   0.162319E+04   0.183530E+00  -0.105369E+01   0.628366E+07   0.120689E+05
    58   0.164567E+04   0.193652E+00  -0.133252E+01   0.625846E+07   0.118541E+05
    59   0.166832E+04   0.203970E+00  -0.162406E+01   0.623264E+07   0.116458E+05
    60   0.169115E+04   0.214499E+00  -0.192991E+01   0.620623E+07   0.114438E+05
    61   0.171444E+04   0.225306E+00  -0.225110E+01   0.617928E+07   0.112481E+05
    62   0.173761E+04   0.236399E+00  -0.258867E+01   0.615183E+07   0.110583E+05
    63   0.176087E+04   0.247777E+00  -0.294333E+01   0.612392E+07   0.108740E+05
    64   0.178452E+04   0.259488E+00  -0.331599E+01   0.609558E+07   0.106948E+05
    65   0.180818E+04   0.271542E+00  -0.370697E+01   0.606686E+07   0.105204E+05
    66   0.183215E+04   0.283901E+00  -0.411408E+01   0.603778E+07   0.103503E+05
    67   0.185627E+04   0.296552E+00  -0.453408E+01   0.600839E+07   0.101842E+05
    68   0.188084E+04   0.309514E+00  -0.496476E+01   0.597871E+07   0.100216E+05
    69   0.190563E+04   0.322726E+00  -0.540384E+01   0.594880E+07   0.986225E+04
    70   0.193079E+04   0.336205E+00  -0.585247E+01   0.591868E+07   0.970566E+04
    71   0.195617E+04   0.349925E+00  -0.631273E+01   0.588839E+07   0.955157E+04
    72   0.198177E+04   0.363872E+00  -0.678647E+01   0.585794E+07   0.940007E+04
    73   0.200751E+04   0.378029E+00  -0.727501E+01   0.582734E+07   0.925133E+04
    74   0.203341E+04   0.392404E+00  -0.777816E+01   0.579662E+07   0.910555E+04
    75   0.205954E+04   0.407024E+00  -0.829517E+01   0.576577E+07   0.896291E+04
    76   0.208583E+04   0.421905E+00  -0.882585E+01   0.573482E+07   0.882359E+04
    77   0.211236E+04   0.437030E+00  -0.936951E+01   0.570377E+07   0.868777E+04
    78   0.213922E+04   0.452413E+00  -0.992679E+01   0.567265E+07   0.855565E+04
    79   0.216624E+04   0.467987E+00  -0.104931E+02   0.564145E+07   0.842739E+04
    80   0.219359E+04   0.483743E+00  -0.110692E+02   0.561020E+07   0.830320E+04
    81   0.222120E+04   0.499621E+00  -0.116548E+02   0.557890E+07   0.818317E+04
    82   0.224914E+04   0.515633E+00  -0.122492E+02   0.554757E+07   0.806714E+04
    83   0.227733E+04   0.531749E+00  -0.128521E+02   0.551623E+07   0.795485E+04
    84   0.230583E+04   0.547959E+00  -0.134620E+02   0.548488E+07   0.784607E+04
    85   0.233451E+04   0.564233E+00  -0.140803E+02   0.545355E+07   0.774055E+04
    86   0.236343E+04   0.580574E+00  -0.147059E+02   0.542225E+07   0.763805E+04
    87   0.239280E+04   0.596945E+00  -0.153381E+02   0.539098E+07   0.753831E+04
    88   0.242219E+04   0.613350E+00  -0.159767E+02   0.535978E+07   0.744110E+04
    89   0.245196E+04   0.629767E+00  -0.166231E+02   0.532864E+07   0.734617E+04
    90   0.248195E+04   0.646147E+00  -0.172742E+02   0.529758E+07   0.725327E+04
    91   0.251209E+04   0.662478E+00  -0.179305E+02   0.526662E+07   0.716220E+04
    92   0.254253E+04   0.678744E+00  -0.185914E+02   0.523576E+07   0.707287E+04
    93   0.257327E+04   0.694941E+00  -0.192570E+02   0.520501E+07   0.698525E+04
    94   0.260409E+04   0.711035E+00  -0.199257E+02   0.517436E+07   0.689930E+04
    95   0.263521E+04   0.727029E+00  -0.205985E+02   0.514383E+07   0.681497E+04
    96   0.266633E+04   0.742911E+00  -0.212747E+02   0.511342E+07   0.673223E+04
    97   0.269791E+04   0.758669E+00  -0.219535E+02   0.508312E+07   0.665103E+04
    98   0.272972E+04   0.774299E+00  -0.226328E+02   0.505295E+07   0.657134E+04
    99   0.276160E+04   0.789766E+00  -0.233157E+02   0.502290E+07   0.649311E+04
   100   0.279380E+04   0.805073E+00  -0.239977E+02   0.499299E+07   0.641631E+04
