#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.107044E+04   0.280145E+01   0.317848E-02   0.280145E+01   0.346589E-01  -0.134478E-04   0.317848E-02  -0.134478E-04   0.526831E-07
     3   0.101323E+04   0.322998E+01   0.318346E-02   0.322998E+01   0.473828E-01  -0.149207E-04   0.318346E-02  -0.149207E-04   0.642012E-07
     4   0.957854E+03   0.310230E+01   0.311000E-02   0.310230E+01   0.443774E-01  -0.134548E-04   0.311000E-02  -0.134548E-04   0.740500E-07
     5   0.915945E+03   0.270112E+01   0.300615E-02   0.270112E+01   0.324587E-01  -0.102521E-04   0.300615E-02  -0.102521E-04   0.826105E-07
     6   0.886871E+03   0.223428E+01   0.289355E-02   0.223428E+01   0.197994E-01  -0.629291E-05   0.289355E-02  -0.629291E-05   0.900956E-07
     7   0.868176E+03   0.179837E+01   0.278389E-02   0.179837E+01   0.108907E-01  -0.254612E-05   0.278389E-02  -0.254612E-05   0.966974E-07
     8   0.856780E+03   0.143114E+01   0.267728E-02   0.143114E+01   0.625370E-02   0.158087E-06   0.267728E-02   0.158087E-06   0.102551E-06
     9   0.851086E+03   0.116178E+01   0.257141E-02   0.116178E+01   0.437353E-02   0.149044E-05   0.257141E-02   0.149044E-05   0.107771E-06
    10   0.849603E+03   0.994735E+00   0.246771E-02   0.994735E+00   0.362023E-02   0.174175E-05   0.246771E-02   0.174175E-05   0.112430E-06
    11   0.851065E+03   0.915234E+00   0.237102E-02   0.915234E+00   0.322111E-02   0.155813E-05   0.237102E-02   0.155813E-05   0.116608E-06
    12   0.855696E+03   0.902157E+00   0.228296E-02   0.902157E+00   0.281468E-02   0.107794E-05   0.228296E-02   0.107794E-05   0.120361E-06
    13   0.861906E+03   0.927245E+00   0.220356E-02   0.927245E+00   0.274673E-02   0.330034E-06   0.220356E-02   0.330034E-06   0.123736E-06
    14   0.869053E+03   0.978661E+00   0.213070E-02   0.978661E+00   0.276539E-02  -0.486985E-06   0.213070E-02  -0.486985E-06   0.126770E-06
    15   0.877498E+03   0.104782E+01   0.206171E-02   0.104782E+01   0.282468E-02  -0.113210E-05   0.206171E-02  -0.113210E-05   0.129497E-06
    16   0.887617E+03   0.112587E+01   0.199444E-02   0.112587E+01   0.300689E-02  -0.142151E-05   0.199444E-02  -0.142151E-05   0.131949E-06
    17   0.899190E+03   0.120185E+01   0.192882E-02   0.120185E+01   0.345772E-02  -0.140021E-05   0.192882E-02  -0.140021E-05   0.134151E-06
    18   0.911197E+03   0.126802E+01   0.186527E-02   0.126802E+01   0.409902E-02  -0.117041E-05   0.186527E-02  -0.117041E-05   0.136124E-06
    19   0.924775E+03   0.132481E+01   0.180424E-02   0.132481E+01   0.474219E-02  -0.834309E-06   0.180424E-02  -0.834309E-06   0.137890E-06
    20   0.938532E+03   0.137281E+01   0.174616E-02   0.137281E+01   0.528478E-02  -0.494123E-06   0.174616E-02  -0.494123E-06   0.139470E-06
    21   0.952649E+03   0.141797E+01   0.169136E-02   0.141797E+01   0.579386E-02  -0.233288E-06   0.169136E-02  -0.233288E-06   0.140884E-06
    22   0.967202E+03   0.146184E+01   0.163973E-02   0.146184E+01   0.640897E-02  -0.601594E-07   0.163973E-02  -0.601594E-07   0.142143E-06
