#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.107695E+04   0.323326E+01   0.320656E-02   0.323326E+01   0.466567E-01  -0.155557E-04   0.320656E-02  -0.155557E-04   0.527724E-07
     3   0.101756E+04   0.398132E+01   0.321857E-02   0.398132E+01   0.744865E-01  -0.187506E-04   0.321857E-02  -0.187506E-04   0.642998E-07
     4   0.958641E+03   0.404799E+01   0.315218E-02   0.404799E+01   0.820278E-01  -0.187334E-04   0.315218E-02  -0.187334E-04   0.741560E-07
     5   0.912572E+03   0.371753E+01   0.305386E-02   0.371753E+01   0.713373E-01  -0.163935E-04   0.305386E-02  -0.163935E-04   0.827219E-07
     6   0.879217E+03   0.322203E+01   0.294432E-02   0.322203E+01   0.517376E-01  -0.125059E-04   0.294432E-02  -0.125059E-04   0.902106E-07
     7   0.856612E+03   0.268764E+01   0.283549E-02   0.268764E+01   0.324241E-01  -0.801151E-05   0.283549E-02  -0.801151E-05   0.968146E-07
     8   0.841957E+03   0.217833E+01   0.272814E-02   0.217833E+01   0.185446E-01  -0.389708E-05   0.272814E-02  -0.389708E-05   0.102669E-06
     9   0.833402E+03   0.174779E+01   0.262030E-02   0.174779E+01   0.108655E-01  -0.788321E-06   0.262030E-02  -0.788321E-06   0.107890E-06
    10   0.829572E+03   0.142378E+01   0.251367E-02   0.142378E+01   0.759321E-02   0.126066E-05   0.251367E-02   0.126066E-05   0.112549E-06
    11   0.829188E+03   0.120829E+01   0.241346E-02   0.120829E+01   0.645679E-02   0.259603E-05   0.241346E-02   0.259603E-05   0.116726E-06
    12   0.832323E+03   0.109070E+01   0.232203E-02   0.109070E+01   0.592578E-02   0.309900E-05   0.232203E-02   0.309900E-05   0.120478E-06
    13   0.837238E+03   0.104872E+01   0.224014E-02   0.104872E+01   0.552992E-02   0.262931E-05   0.224014E-02   0.262931E-05   0.123851E-06
    14   0.843251E+03   0.106327E+01   0.216564E-02   0.106327E+01   0.501996E-02   0.153704E-05   0.216564E-02   0.153704E-05   0.126883E-06
