#    L    TT             EE             BB             TE          
     2   0.107045E+04   0.346608E-01   0.191799E-05   0.280145E+01
     3   0.101324E+04   0.473866E-01   0.383655E-05   0.322999E+01
     4   0.957874E+03   0.443838E-01   0.639549E-05   0.310231E+01
     5   0.915976E+03   0.324684E-01   0.959555E-05   0.270113E+01
     6   0.886914E+03   0.198129E-01   0.134376E-04   0.223429E+01
     7   0.868233E+03   0.109087E-01   0.179228E-04   0.179836E+01
     8   0.856852E+03   0.627676E-02   0.230524E-04   0.143113E+01
     9   0.851175E+03   0.440236E-02   0.288276E-04   0.116177E+01
    10   0.849711E+03   0.365549E-02   0.352501E-04   0.994721E+00
    11   0.851194E+03   0.326344E-02   0.423215E-04   0.915216E+00
    12   0.855848E+03   0.286475E-02   0.500435E-04   0.902134E+00
    13   0.862082E+03   0.280518E-02   0.584179E-04   0.927215E+00
    14   0.869256E+03   0.283288E-02   0.674468E-04   0.978623E+00
    15   0.877729E+03   0.290187E-02   0.771321E-04   0.104777E+01
    16   0.887877E+03   0.309443E-02   0.874758E-04   0.112581E+01
    17   0.899481E+03   0.355628E-02   0.984801E-04   0.120177E+01
    18   0.911522E+03   0.420927E-02   0.110147E-03   0.126791E+01
    19   0.925135E+03   0.486479E-02   0.122479E-03   0.132468E+01
    20   0.938928E+03   0.542040E-02   0.135477E-03   0.137265E+01
    21   0.953082E+03   0.594319E-02   0.149145E-03   0.141778E+01
    22   0.967675E+03   0.657268E-02   0.163484E-03   0.146161E+01
    23   0.982498E+03   0.746750E-02   0.178495E-03   0.150659E+01
    24   0.997638E+03   0.872981E-02   0.194182E-03   0.155554E+01
    25   0.101311E+04   0.103697E-01   0.210545E-03   0.161041E+01
    26   0.102878E+04   0.123288E-01   0.227587E-03   0.167351E+01
    27   0.104481E+04   0.145318E-01   0.245309E-03   0.174231E+01
    28   0.106099E+04   0.169345E-01   0.263712E-03   0.181422E+01
    29   0.107748E+04   0.195202E-01   0.282799E-03   0.188605E+01
    30   0.109430E+04   0.222871E-01   0.302569E-03   0.195292E+01
    31   0.111124E+04   0.252284E-01   0.323025E-03   0.201033E+01
    32   0.112844E+04   0.283302E-01   0.344167E-03   0.205517E+01
    33   0.114598E+04   0.315685E-01   0.365996E-03   0.208442E+01
    34   0.116377E+04   0.349334E-01   0.388513E-03   0.209634E+01
    35   0.118182E+04   0.384358E-01   0.411718E-03   0.209140E+01
    36   0.120005E+04   0.421052E-01   0.435612E-03   0.206995E+01
    37   0.121837E+04   0.459917E-01   0.460194E-03   0.203336E+01
    38   0.123702E+04   0.501464E-01   0.485465E-03   0.198494E+01
    39   0.125598E+04   0.545742E-01   0.511424E-03   0.192583E+01
    40   0.127503E+04   0.592742E-01   0.538072E-03   0.185646E+01
    41   0.129431E+04   0.642523E-01   0.565407E-03   0.177697E+01
    42   0.131361E+04   0.695223E-01   0.593430E-03   0.168734E+01
    43   0.133307E+04   0.751000E-01   0.622140E-03   0.158751E+01
    44   0.135253E+04   0.809860E-01   0.651535E-03   0.147833E+01
    45   0.137238E+04   0.871916E-01   0.681615E-03   0.136071E+01
    46   0.139253E+04   0.937242E-01   0.712380E-03   0.123318E+01
    47   0.141284E+04   0.100563E+00   0.743828E-03   0.109465E+01
    48   0.143322E+04   0.107687E+00   0.775958E-03   0.946779E+00
    49   0.145376E+04   0.115054E+00   0.808769E-03   0.790617E+00
    50   0.147467E+04   0.122613E+00   0.842260E-03   0.620449E+00
    51   0.149574E+04   0.130320E+00   0.876429E-03   0.430044E+00
    52   0.151718E+04   0.138286E+00   0.911276E-03   0.216759E+00
    53   0.153862E+04   0.146696E+00   0.946800E-03  -0.192987E-01
    54   0.156001E+04   0.155577E+00   0.983000E-03  -0.270055E+00
    55   0.158155E+04   0.164944E+00   0.101987E-02  -0.527320E+00
    56   0.160348E+04   0.174676E+00   0.105742E-02  -0.790046E+00
    57   0.162572E+04   0.184637E+00   0.109564E-02  -0.105944E+01
    58   0.164828E+04   0.194798E+00   0.113453E-02  -0.133853E+01
    59   0.167101E+04   0.205157E+00   0.117410E-02  -0.163033E+01
    60   0.169391E+04   0.215726E+00   0.121433E-02  -0.193644E+01
    61   0.171728E+04   0.226574E+00   0.125523E-02  -0.225788E+01
    62   0.174052E+04   0.237709E+00   0.129681E-02  -0.259571E+01
    63   0.176386E+04   0.249129E+00   0.133905E-02  -0.295062E+01
    64   0.178759E+04   0.260883E+00   0.138197E-02  -0.332353E+01
    65   0.181133E+04   0.272981E+00   0.142555E-02  -0.371476E+01
    66   0.183537E+04   0.285383E+00   0.146981E-02  -0.412212E+01
    67   0.185958E+04   0.298079E+00   0.151473E-02  -0.454235E+01
    68   0.188423E+04   0.311087E+00   0.156033E-02  -0.497326E+01
    69   0.190910E+04   0.324345E+00   0.160660E-02  -0.541256E+01
    70   0.193434E+04   0.337871E+00   0.165355E-02  -0.586141E+01
    71   0.195979E+04   0.351638E+00   0.170117E-02  -0.632187E+01
    72   0.198547E+04   0.365632E+00   0.174946E-02  -0.679581E+01
    73   0.201130E+04   0.379838E+00   0.179844E-02  -0.728453E+01
    74   0.203728E+04   0.394261E+00   0.184809E-02  -0.778786E+01
    75   0.206349E+04   0.408931E+00   0.189843E-02  -0.830502E+01
    76   0.208987E+04   0.423861E+00   0.194945E-02  -0.883585E+01
    77   0.211648E+04   0.439037E+00   0.200115E-02  -0.937964E+01
    78   0.214342E+04   0.454471E+00   0.205355E-02  -0.993703E+01
    79   0.217052E+04   0.470097E+00   0.210664E-02  -0.105035E+02
    80   0.219796E+04   0.485905E+00   0.216042E-02  -0.110796E+02
    81   0.222565E+04   0.501835E+00   0.221490E-02  -0.116653E+02
    82   0.225367E+04   0.517901E+00   0.227008E-02  -0.122597E+02
    83   0.228194E+04   0.534071E+00   0.232596E-02  -0.128627E+02
    84   0.231053E+04   0.550336E+00   0.238255E-02  -0.134726E+02
    85   0.233929E+04   0.566664E+00   0.243985E-02  -0.140908E+02
    86   0.236829E+04   0.583061E+00   0.249786E-02  -0.147164E+02
    87   0.239774E+04   0.599488E+00   0.255659E-02  -0.153485E+02
    88   0.242721E+04   0.615950E+00   0.261604E-02  -0.159870E+02
    89   0.245706E+04   0.632424E+00   0.267622E-02  -0.166333E+02
    90   0.248713E+04   0.648863E+00   0.273712E-02  -0.172842E+02
    91   0.251735E+04   0.665252E+00   0.279875E-02  -0.179403E+02
    92   0.254787E+04   0.681577E+00   0.286112E-02  -0.186010E+02
    93   0.257869E+04   0.697834E+00   0.292423E-02  -0.192664E+02
    94   0.260958E+04   0.713989E+00   0.298808E-02  -0.199349E+02
    95   0.264078E+04   0.730045E+00   0.305267E-02  -0.206074E+02
    96   0.267198E+04   0.745989E+00   0.311802E-02  -0.212832E+02
    97   0.270363E+04   0.761810E+00   0.318412E-02  -0.219616E+02
    98   0.273551E+04   0.777503E+00   0.325099E-02  -0.226406E+02
    99   0.276747E+04   0.793035E+00   0.331861E-02  -0.233230E+02
   100   0.279974E+04   0.808408E+00   0.338700E-02  -0.240045E+02
   101   0.283216E+04   0.823684E+00   0.345616E-02  -0.246882E+02
   102   0.286512E+04   0.838719E+00   0.352610E-02  -0.253718E+02
   103   0.289801E+04   0.853588E+00   0.359681E-02  -0.260562E+02
   104   0.293114E+04   0.868296E+00   0.366831E-02  -0.267385E+02
   105   0.296443E+04   0.882771E+00   0.374059E-02  -0.274201E+02
   106   0.299796E+04   0.897090E+00   0.381367E-02  -0.281006E+02
   107   0.303143E+04   0.911107E+00   0.388754E-02  -0.287783E+02
   108   0.306528E+04   0.924901E+00   0.396221E-02  -0.294541E+02
   109   0.309930E+04   0.938399E+00   0.403769E-02  -0.301267E+02
   110   0.313342E+04   0.951604E+00   0.411397E-02  -0.307945E+02
   111   0.316770E+04   0.964594E+00   0.419107E-02  -0.314591E+02
   112   0.320214E+04   0.977293E+00   0.426899E-02  -0.321196E+02
   113   0.323683E+04   0.989698E+00   0.434773E-02  -0.327746E+02
   114   0.327161E+04   0.100173E+01   0.442730E-02  -0.334231E+02
   115   0.330663E+04   0.101355E+01   0.450770E-02  -0.340651E+02
   116   0.334166E+04   0.102491E+01   0.458894E-02  -0.346997E+02
   117   0.337700E+04   0.103590E+01   0.467103E-02  -0.353261E+02
   118   0.341250E+04   0.104666E+01   0.475396E-02  -0.359449E+02
   119   0.344802E+04   0.105704E+01   0.483775E-02  -0.365538E+02
   120   0.348369E+04   0.106690E+01   0.492240E-02  -0.371527E+02
   121   0.351938E+04   0.107651E+01   0.500791E-02  -0.377416E+02
   122   0.355514E+04   0.108560E+01   0.509430E-02  -0.383195E+02
   123   0.359099E+04   0.109422E+01   0.518157E-02  -0.388864E+02
   124   0.362692E+04   0.110246E+01   0.526973E-02  -0.394391E+02
   125   0.366286E+04   0.111023E+01   0.535878E-02  -0.399800E+02
   126   0.369888E+04   0.111760E+01   0.544872E-02  -0.405080E+02
   127   0.373490E+04   0.112444E+01   0.553958E-02  -0.410224E+02
   128   0.377093E+04   0.113088E+01   0.563134E-02  -0.415223E+02
   129   0.380703E+04   0.113677E+01   0.572403E-02  -0.420070E+02
   130   0.384313E+04   0.114211E+01   0.581765E-02  -0.424754E+02
   131   0.387924E+04   0.114705E+01   0.591220E-02  -0.429291E+02
   132   0.391542E+04   0.115144E+01   0.600769E-02  -0.433651E+02
   133   0.395153E+04   0.115535E+01   0.610414E-02  -0.437857E+02
   134   0.398763E+04   0.115879E+01   0.620154E-02  -0.441862E+02
   135   0.402374E+04   0.116168E+01   0.629991E-02  -0.445698E+02
   136   0.405970E+04   0.116402E+01   0.639926E-02  -0.449328E+02
   137   0.409566E+04   0.116588E+01   0.649959E-02  -0.452773E+02
   138   0.413155E+04   0.116719E+01   0.660091E-02  -0.456019E+02
   139   0.416722E+04   0.116810E+01   0.670323E-02  -0.459058E+02
   140   0.420296E+04   0.116839E+01   0.680655E-02  -0.461898E+02
   141   0.423847E+04   0.116813E+01   0.691090E-02  -0.464518E+02
   142   0.427399E+04   0.116739E+01   0.701626E-02  -0.466923E+02
   143   0.430943E+04   0.116618E+01   0.712266E-02  -0.469115E+02
   144   0.434466E+04   0.116442E+01   0.723009E-02  -0.471086E+02
   145   0.437973E+04   0.116226E+01   0.733857E-02  -0.472828E+02
   146   0.441488E+04   0.115947E+01   0.744810E-02  -0.474342E+02
   147   0.444965E+04   0.115629E+01   0.755869E-02  -0.475613E+02
   148   0.448428E+04   0.115255E+01   0.767035E-02  -0.476656E+02
   149   0.451883E+04   0.114834E+01   0.778309E-02  -0.477456E+02
