#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.107044E+04   0.346589E-01   0.000000E+00   0.280145E+01   0.526767E-07   0.317842E-02  -0.134478E-04
     3   0.101323E+04   0.473828E-01   0.000000E+00   0.322999E+01   0.641915E-07   0.318338E-02  -0.149207E-04
     4   0.957861E+03   0.443774E-01   0.000000E+00   0.310231E+01   0.740375E-07   0.310989E-02  -0.134548E-04
     5   0.915955E+03   0.324588E-01   0.000000E+00   0.270113E+01   0.825953E-07   0.300602E-02  -0.102521E-04
     6   0.886885E+03   0.197994E-01   0.000000E+00   0.223429E+01   0.900775E-07   0.289339E-02  -0.629293E-05
     7   0.868195E+03   0.108908E-01   0.000000E+00   0.179837E+01   0.966765E-07   0.278371E-02  -0.254614E-05
     8   0.856803E+03   0.625370E-02   0.000000E+00   0.143114E+01   0.102527E-06   0.267708E-02   0.158068E-06
     9   0.851114E+03   0.437353E-02   0.000000E+00   0.116178E+01   0.107745E-06   0.257119E-02   0.149042E-05
    10   0.849636E+03   0.362024E-02   0.000000E+00   0.994732E+00   0.112401E-06   0.246747E-02   0.174172E-05
    11   0.851105E+03   0.322112E-02   0.000000E+00   0.915232E+00   0.116576E-06   0.237078E-02   0.155925E-05
    12   0.855744E+03   0.281471E-02   0.000000E+00   0.902156E+00   0.120326E-06   0.228268E-02   0.107790E-05
    13   0.861961E+03   0.274676E-02   0.000000E+00   0.927245E+00   0.123699E-06   0.220334E-02   0.325730E-06
    14   0.869117E+03   0.276543E-02   0.000000E+00   0.978662E+00   0.126730E-06   0.213047E-02  -0.492062E-06
    15   0.877570E+03   0.282474E-02   0.000000E+00   0.104782E+01   0.129453E-06   0.206139E-02  -0.113213E-05
    16   0.887698E+03   0.300696E-02   0.000000E+00   0.112587E+01   0.131903E-06   0.199409E-02  -0.141392E-05
    17   0.899281E+03   0.345781E-02   0.000000E+00   0.120185E+01   0.134103E-06   0.192846E-02  -0.138763E-05
    18   0.911300E+03   0.409913E-02   0.000000E+00   0.126801E+01   0.136072E-06   0.186489E-02  -0.115790E-05
    19   0.924889E+03   0.474233E-02   0.000000E+00   0.132481E+01   0.137835E-06   0.180382E-02  -0.826732E-06
    20   0.938658E+03   0.528496E-02   0.000000E+00   0.137280E+01   0.139412E-06   0.174576E-02  -0.494135E-06
    21   0.952787E+03   0.579409E-02   0.000000E+00   0.141796E+01   0.140826E-06   0.169108E-02  -0.240500E-06
    22   0.967354E+03   0.640926E-02   0.000000E+00   0.146182E+01   0.142085E-06   0.163961E-02  -0.729781E-07
    23   0.982149E+03   0.728909E-02   0.000000E+00   0.150683E+01   0.143197E-06   0.159105E-02   0.192135E-07
    24   0.997261E+03   0.853574E-02   0.000000E+00   0.155583E+01   0.144172E-06   0.154514E-02   0.465949E-07
    25   0.101270E+04   0.101593E-01   0.000000E+00   0.161075E+01   0.145018E-06   0.150162E-02   0.194782E-07
    26   0.102834E+04   0.121014E-01   0.000000E+00   0.167390E+01   0.145743E-06   0.146027E-02  -0.519929E-07
    27   0.104434E+04   0.142867E-01   0.000000E+00   0.174275E+01   0.146356E-06   0.142086E-02  -0.157811E-06
    28   0.106049E+04   0.166710E-01   0.000000E+00   0.181473E+01   0.146868E-06   0.138318E-02  -0.288081E-06
    29   0.107695E+04   0.192378E-01   0.000000E+00   0.188663E+01   0.147288E-06   0.134703E-02  -0.433001E-06
    30   0.109374E+04   0.219850E-01   0.000000E+00   0.195356E+01   0.147624E-06   0.131220E-02  -0.582844E-06
    31   0.111065E+04   0.249059E-01   0.000000E+00   0.201106E+01   0.147886E-06   0.127855E-02  -0.728987E-06
    32   0.112782E+04   0.279868E-01   0.000000E+00   0.205598E+01   0.148078E-06   0.124600E-02  -0.866993E-06
    33   0.114532E+04   0.312034E-01   0.000000E+00   0.208531E+01   0.148204E-06   0.121455E-02  -0.993481E-06
    34   0.116308E+04   0.345460E-01   0.000000E+00   0.209732E+01   0.148266E-06   0.118418E-02  -0.110508E-05
    35   0.118109E+04   0.380254E-01   0.000000E+00   0.209249E+01   0.148268E-06   0.115486E-02  -0.119841E-05
    36   0.119928E+04   0.416711E-01   0.000000E+00   0.207114E+01   0.148215E-06   0.112659E-02  -0.127014E-05
    37   0.121757E+04   0.455333E-01   0.000000E+00   0.203466E+01   0.148109E-06   0.109934E-02  -0.131689E-05
    38   0.123618E+04   0.496631E-01   0.000000E+00   0.198635E+01   0.147955E-06   0.107311E-02  -0.133534E-05
    39   0.125510E+04   0.540654E-01   0.000000E+00   0.192736E+01   0.147755E-06   0.104790E-02  -0.132214E-05
    40   0.127411E+04   0.587392E-01   0.000000E+00   0.185811E+01   0.147515E-06   0.102368E-02  -0.127394E-05
    41   0.129336E+04   0.636904E-01   0.000000E+00   0.177875E+01   0.147237E-06   0.100045E-02  -0.118934E-05
    42   0.131262E+04   0.689331E-01   0.000000E+00   0.168925E+01   0.146924E-06   0.978160E-03  -0.107453E-05
    43   0.133204E+04   0.744827E-01   0.000000E+00   0.158956E+01   0.146578E-06   0.956749E-03  -0.937597E-06
    44   0.135147E+04   0.803401E-01   0.000000E+00   0.148052E+01   0.146200E-06   0.936166E-03  -0.786596E-06
    45   0.137127E+04   0.865164E-01   0.000000E+00   0.136305E+01   0.145792E-06   0.916358E-03  -0.629553E-06
    46   0.139138E+04   0.930193E-01   0.000000E+00   0.123566E+01   0.145357E-06   0.897271E-03  -0.474470E-06
    47   0.141165E+04   0.998278E-01   0.000000E+00   0.109728E+01   0.144895E-06   0.878853E-03  -0.329327E-06
    48   0.143199E+04   0.106921E+00   0.000000E+00   0.949547E+00   0.144410E-06   0.861054E-03  -0.202086E-06
    49   0.145249E+04   0.114257E+00   0.000000E+00   0.793534E+00   0.143904E-06   0.843821E-03  -0.100693E-06
    50   0.147336E+04   0.121783E+00   0.000000E+00   0.623514E+00   0.143377E-06   0.827105E-03  -0.330747E-07
    51   0.149438E+04   0.129458E+00   0.000000E+00   0.433256E+00   0.142833E-06   0.810861E-03  -0.465574E-08
    52   0.151578E+04   0.137391E+00   0.000000E+00   0.220116E+00   0.142272E-06   0.795075E-03  -0.108909E-07
    53   0.153718E+04   0.145767E+00   0.000000E+00  -0.157977E-01   0.141695E-06   0.779739E-03  -0.447611E-07
    54   0.155852E+04   0.154615E+00   0.000000E+00  -0.266414E+00   0.141103E-06   0.764846E-03  -0.992660E-07
    55   0.158002E+04   0.163947E+00   0.000000E+00  -0.523542E+00   0.140496E-06   0.750389E-03  -0.167422E-06
    56   0.160191E+04   0.173644E+00   0.000000E+00  -0.786136E+00   0.139877E-06   0.736361E-03  -0.242261E-06
    57   0.162411E+04   0.183570E+00   0.000000E+00  -0.105541E+01   0.139245E-06   0.722754E-03  -0.316829E-06
    58   0.164662E+04   0.193695E+00   0.000000E+00  -0.133437E+01   0.138601E-06   0.709563E-03  -0.384184E-06
    59   0.166930E+04   0.204017E+00   0.000000E+00  -0.162606E+01   0.137947E-06   0.696780E-03  -0.437397E-06
    60   0.169216E+04   0.214550E+00   0.000000E+00  -0.193207E+01   0.137283E-06   0.684400E-03  -0.469549E-06
    61   0.171549E+04   0.225361E+00   0.000000E+00  -0.225342E+01   0.136611E-06   0.672412E-03  -0.475813E-06
    62   0.173869E+04   0.236459E+00   0.000000E+00  -0.259116E+01   0.135930E-06   0.660795E-03  -0.459691E-06
    63   0.176198E+04   0.247842E+00   0.000000E+00  -0.294600E+01   0.135242E-06   0.649525E-03  -0.426759E-06
    64   0.178566E+04   0.259557E+00   0.000000E+00  -0.331885E+01   0.134548E-06   0.638577E-03  -0.382583E-06
    65   0.180935E+04   0.271617E+00   0.000000E+00  -0.371004E+01   0.133848E-06   0.627928E-03  -0.332720E-06
    66   0.183335E+04   0.283981E+00   0.000000E+00  -0.411736E+01   0.133142E-06   0.617552E-03  -0.282717E-06
    67   0.185751E+04   0.296638E+00   0.000000E+00  -0.453758E+01   0.132432E-06   0.607425E-03  -0.238116E-06
    68   0.188211E+04   0.309607E+00   0.000000E+00  -0.496849E+01   0.131718E-06   0.597525E-03  -0.204451E-06
    69   0.190694E+04   0.322825E+00   0.000000E+00  -0.540782E+01   0.131001E-06   0.587826E-03  -0.187250E-06
    70   0.193213E+04   0.336311E+00   0.000000E+00  -0.585671E+01   0.130282E-06   0.578305E-03  -0.192032E-06
    71   0.195754E+04   0.350039E+00   0.000000E+00  -0.631723E+01   0.129560E-06   0.568944E-03  -0.222651E-06
    72   0.198317E+04   0.363994E+00   0.000000E+00  -0.679126E+01   0.128838E-06   0.559747E-03  -0.276311E-06
    73   0.200895E+04   0.378159E+00   0.000000E+00  -0.728008E+01   0.128114E-06   0.550725E-03  -0.348557E-06
    74   0.203489E+04   0.392542E+00   0.000000E+00  -0.778355E+01   0.127389E-06   0.541888E-03  -0.434941E-06
    75   0.206106E+04   0.407171E+00   0.000000E+00  -0.830087E+01   0.126663E-06   0.533247E-03  -0.531020E-06
    76   0.208739E+04   0.422061E+00   0.000000E+00  -0.883188E+01   0.125937E-06   0.524812E-03  -0.632358E-06
    77   0.211396E+04   0.437196E+00   0.000000E+00  -0.937589E+01   0.125210E-06   0.516593E-03  -0.734520E-06
